gateway_id	cutting_type	cutting_level	player_count
146086	0	1	510
146086	0	2	1
146086	0	3	1
146086	0	4	2
146086	0	5	2
146086	0	7	1
146086	0	8	1
146086	0	9	1
146086	0	10	1
146086	0	11	1
146086	0	15	1
146086	0	16	1
146086	0	20	4
146086	0	23	2
146086	0	24	2
146086	0	25	1
146086	0	26	2
146086	0	31	1
146086	0	43	1
146086	1	1	504
146086	1	3	2
146086	1	4	1
146086	1	5	1
146086	1	6	1
146086	1	8	1
146086	1	9	1
146086	1	11	1
146086	1	12	1
146086	1	13	1
146086	1	15	3
146086	1	16	3
146086	1	17	1
146086	1	19	2
146086	1	20	6
146086	1	21	2
146086	1	22	2
146086	1	26	1
146086	1	30	1
146086	1	31	1
146086	2	1	502
146086	2	2	2
146086	2	3	1
146086	2	4	2
146086	2	5	4
146086	2	7	5
146086	2	8	1
146086	2	10	2
146086	2	11	1
146086	2	12	2
146086	2	13	2
146086	2	14	3
146086	2	15	1
146086	2	16	2
146086	2	18	1
146086	2	20	1
146086	2	22	1
146086	2	23	1
146086	2	24	2
146086	3	1	509
146086	3	2	2
146086	3	5	2
146086	3	6	1
146086	3	7	3
146086	3	8	1
146086	3	9	1
146086	3	10	3
146086	3	12	3
146086	3	14	4
146086	3	16	1
146086	3	17	1
146086	3	18	1
146086	3	19	3
146086	3	23	1
146086	4	1	533
146086	4	5	2
146086	4	6	1
146086	5	1	535
146086	5	9	1
146086	6	1	534
146086	6	3	1
146086	6	8	1
146086	7	1	532
146086	7	2	1
146086	7	4	1
146086	7	7	2
146086	8	1	480
146086	8	2	2
146086	8	5	2
146086	8	6	1
146086	8	7	1
146086	8	8	1
146086	8	10	6
146086	8	11	3
146086	8	12	1
146086	8	13	3
146086	8	14	6
146086	8	15	2
146086	8	16	2
146086	8	17	1
146086	8	19	5
146086	8	20	13
146086	8	21	2
146086	8	24	1
146086	8	26	1
146086	8	31	1
146086	8	34	1
146086	8	35	1
146086	9	1	529
146086	9	3	2
146086	9	4	1
146086	9	7	2
146086	9	10	1
146086	9	11	1
146086	10	1	532
146086	10	2	1
146086	10	5	1
146086	10	7	1
146086	10	11	1
146086	11	1	536
146086	12	1	536
146086	13	1	531
146086	13	2	1
146086	13	3	1
146086	13	9	1
146086	13	15	1
146086	13	21	1
146086	14	1	536
146086	15	1	536
146086	16	1	535
146086	16	7	1
146086	17	1	533
146086	17	2	2
146086	17	5	1
146086	18	1	536
146086	19	1	536
146086	20	1	536
146086	21	1	536
146086	22	1	536
146086	23	1	536
146090	0	1	747
146090	0	3	1
146090	0	12	1
146090	0	13	1
146090	0	15	2
146090	0	17	2
146090	0	18	2
146090	0	20	1
146090	0	27	1
146090	1	1	731
146090	1	5	1
146090	1	7	2
146090	1	8	1
146090	1	9	1
146090	1	10	1
146090	1	14	5
146090	1	16	2
146090	1	20	6
146090	1	21	3
146090	1	22	1
146090	1	25	1
146090	1	26	1
146090	1	30	1
146090	1	43	1
146090	2	1	735
146090	2	4	2
146090	2	5	1
146090	2	7	1
146090	2	8	1
146090	2	9	1
146090	2	10	4
146090	2	11	1
146090	2	12	4
146090	2	13	1
146090	2	14	1
146090	2	15	2
146090	2	16	1
146090	2	20	2
146090	2	22	1
146090	3	1	733
146090	3	2	1
146090	3	4	1
146090	3	5	1
146090	3	6	1
146090	3	7	3
146090	3	8	2
146090	3	10	2
146090	3	11	2
146090	3	12	2
146090	3	13	2
146090	3	14	2
146090	3	15	1
146090	3	17	1
146090	3	20	2
146090	3	21	1
146090	3	25	1
146090	4	1	756
146090	4	9	1
146090	4	12	1
146090	5	1	758
146090	6	1	755
146090	6	2	1
146090	6	4	1
146090	6	9	1
146090	7	1	753
146090	7	2	1
146090	7	3	1
146090	7	6	1
146090	7	8	1
146090	7	14	1
146090	8	1	716
146090	8	2	1
146090	8	4	1
146090	8	8	2
146090	8	12	2
146090	8	14	1
146090	8	15	3
146090	8	16	4
146090	8	17	2
146090	8	18	1
146090	8	19	3
146090	8	20	14
146090	8	21	4
146090	8	22	1
146090	8	26	1
146090	8	29	1
146090	8	30	1
146090	9	1	753
146090	9	2	1
146090	9	4	2
146090	9	5	1
146090	9	8	1
146090	10	1	753
146090	10	3	2
146090	10	5	1
146090	10	6	1
146090	10	15	1
146090	11	1	758
146090	12	1	758
146090	13	1	755
146090	13	2	1
146090	13	5	2
146090	14	1	758
146090	15	1	758
146090	16	1	749
146090	16	3	1
146090	16	5	1
146090	16	6	2
146090	16	7	1
146090	16	8	1
146090	16	9	1
146090	16	12	1
146090	16	32	1
146090	17	1	753
146090	17	3	1
146090	17	5	1
146090	17	6	3
146090	18	1	758
146090	19	1	758
146090	20	1	758
146090	21	1	758
146090	22	1	758
146090	23	1	758
146098	0	1	500
146098	0	7	2
146098	0	9	1
146098	0	10	1
146098	0	14	1
146098	0	16	1
146098	0	17	1
146098	0	18	2
146098	0	20	4
146098	0	21	1
146098	0	29	1
146098	0	30	1
146098	1	1	491
146098	1	3	1
146098	1	8	1
146098	1	9	1
146098	1	10	1
146098	1	15	2
146098	1	16	1
146098	1	19	2
146098	1	20	7
146098	1	21	2
146098	1	22	1
146098	1	23	2
146098	1	26	1
146098	1	27	1
146098	1	30	1
146098	1	36	1
146098	2	1	491
146098	2	4	1
146098	2	5	1
146098	2	6	1
146098	2	7	1
146098	2	9	1
146098	2	10	4
146098	2	11	2
146098	2	12	1
146098	2	13	2
146098	2	14	1
146098	2	15	1
146098	2	16	1
146098	2	18	1
146098	2	19	1
146098	2	20	3
146098	2	22	2
146098	2	24	1
146098	3	1	488
146098	3	5	2
146098	3	6	2
146098	3	7	3
146098	3	8	1
146098	3	9	1
146098	3	10	5
146098	3	11	2
146098	3	12	2
146098	3	14	1
146098	3	15	2
146098	3	16	2
146098	3	17	1
146098	3	20	1
146098	3	21	2
146098	3	25	1
146098	4	1	514
146098	4	2	1
146098	4	6	1
146098	5	1	515
146098	5	5	1
146098	6	1	514
146098	6	4	1
146098	6	5	1
146098	7	1	512
146098	7	3	1
146098	7	4	1
146098	7	5	1
146098	7	17	1
146098	8	1	474
146098	8	3	1
146098	8	4	1
146098	8	7	1
146098	8	8	1
146098	8	9	1
146098	8	11	1
146098	8	12	1
146098	8	13	3
146098	8	14	2
146098	8	15	3
146098	8	16	5
146098	8	18	3
146098	8	19	5
146098	8	20	4
146098	8	21	2
146098	8	23	1
146098	8	24	1
146098	8	27	1
146098	8	29	1
146098	8	30	4
146098	9	1	513
146098	9	3	1
146098	9	4	1
146098	9	11	1
146098	10	1	514
146098	10	12	1
146098	10	13	1
146098	11	1	516
146098	12	1	515
146098	12	9	1
146098	13	1	509
146098	13	2	1
146098	13	4	2
146098	13	9	2
146098	13	15	2
146098	14	1	516
146098	15	1	516
146098	16	1	513
146098	16	9	1
146098	16	12	1
146098	16	13	1
146098	17	1	504
146098	17	2	3
146098	17	3	1
146098	17	9	3
146098	17	11	1
146098	17	12	1
146098	17	17	1
146098	17	19	1
146098	17	22	1
146098	18	1	516
146098	19	1	516
146098	20	1	516
146098	21	1	516
146098	22	1	516
146098	23	1	516
146102	0	1	303
146102	0	2	1
146102	0	6	1
146102	0	10	1
146102	0	14	1
146102	0	20	3
146102	0	27	1
146102	0	31	1
146102	0	41	1
146102	1	1	283
146102	1	10	1
146102	1	11	1
146102	1	14	1
146102	1	15	1
146102	1	17	1
146102	1	20	11
146102	1	22	2
146102	1	23	1
146102	1	25	1
146102	1	27	1
146102	1	28	2
146102	1	30	2
146102	1	34	1
146102	1	35	1
146102	1	36	2
146102	1	40	1
146102	2	1	286
146102	2	2	1
146102	2	3	1
146102	2	5	1
146102	2	7	3
146102	2	10	1
146102	2	12	3
146102	2	13	1
146102	2	14	1
146102	2	15	1
146102	2	16	1
146102	2	17	1
146102	2	20	6
146102	2	21	2
146102	2	28	1
146102	2	30	2
146102	2	31	1
146102	3	1	286
146102	3	3	1
146102	3	4	1
146102	3	7	2
146102	3	8	1
146102	3	9	1
146102	3	13	1
146102	3	16	1
146102	3	17	2
146102	3	20	10
146102	3	21	3
146102	3	29	1
146102	3	30	1
146102	3	31	1
146102	3	34	1
146102	4	1	313
146102	5	1	311
146102	5	7	2
146102	6	1	312
146102	6	2	1
146102	7	1	309
146102	7	2	1
146102	7	7	1
146102	7	12	1
146102	7	20	1
146102	8	1	279
146102	8	2	1
146102	8	7	2
146102	8	10	3
146102	8	11	1
146102	8	15	1
146102	8	17	1
146102	8	18	1
146102	8	20	13
146102	8	22	1
146102	8	23	2
146102	8	25	1
146102	8	26	1
146102	8	30	1
146102	8	31	1
146102	8	33	1
146102	8	34	1
146102	8	40	1
146102	8	41	1
146102	9	1	311
146102	9	2	2
146102	10	1	311
146102	10	3	2
146102	11	1	313
146102	12	1	313
146102	13	1	307
146102	13	2	1
146102	13	3	2
146102	13	4	1
146102	13	9	1
146102	13	26	1
146102	14	1	313
146102	15	1	313
146102	16	1	310
146102	16	9	2
146102	16	12	1
146102	17	1	295
146102	17	3	2
146102	17	4	1
146102	17	9	3
146102	17	10	1
146102	17	11	1
146102	17	13	2
146102	17	15	1
146102	17	18	1
146102	17	19	1
146102	17	21	4
146102	17	26	1
146102	18	1	313
146102	19	1	313
146102	20	1	313
146102	21	1	313
146102	22	1	313
146102	23	1	313
146107	0	1	306
146107	0	4	1
146107	0	17	1
146107	0	30	1
146107	0	33	1
146107	0	40	1
146107	1	1	294
146107	1	14	1
146107	1	15	3
146107	1	17	1
146107	1	18	2
146107	1	19	1
146107	1	20	2
146107	1	21	1
146107	1	24	1
146107	1	26	1
146107	1	27	1
146107	1	28	1
146107	1	31	1
146107	1	37	1
146107	2	1	300
146107	2	3	1
146107	2	7	1
146107	2	10	1
146107	2	12	1
146107	2	16	2
146107	2	17	2
146107	2	18	1
146107	2	23	1
146107	2	27	1
146107	3	1	295
146107	3	2	1
146107	3	5	1
146107	3	7	1
146107	3	8	1
146107	3	10	2
146107	3	12	1
146107	3	13	1
146107	3	16	3
146107	3	17	1
146107	3	19	1
146107	3	20	1
146107	3	22	1
146107	3	24	1
146107	4	1	311
146107	5	1	311
146107	6	1	311
146107	7	1	310
146107	7	4	1
146107	8	1	291
146107	8	5	1
146107	8	6	1
146107	8	11	1
146107	8	12	1
146107	8	18	1
146107	8	19	2
146107	8	20	3
146107	8	21	2
146107	8	22	1
146107	8	24	1
146107	8	25	1
146107	8	27	1
146107	8	28	3
146107	8	31	1
146107	9	1	311
146107	10	1	310
146107	10	9	1
146107	11	1	310
146107	11	4	1
146107	12	1	310
146107	12	6	1
146107	13	1	307
146107	13	3	1
146107	13	18	2
146107	13	24	1
146107	14	1	311
146107	15	1	311
146107	16	1	307
146107	16	3	1
146107	16	5	1
