gateway_id	cutting_type	cutting_level	player_count
146086	0	1	120
146086	0	2	1
146086	0	5	1
146086	0	7	2
146086	0	10	2
146086	0	16	1
146086	0	19	1
146086	0	20	3
146086	0	29	1
146086	0	30	1
146086	0	33	1
146086	0	36	1
146086	0	37	1
146086	0	39	1
146086	0	40	1
146086	0	41	1
146086	0	48	1
146086	0	50	1
146086	1	1	103
146086	1	3	1
146086	1	6	2
146086	1	7	2
146086	1	9	1
146086	1	14	1
146086	1	15	1
146086	1	18	2
146086	1	20	9
146086	1	25	1
146086	1	28	1
146086	1	31	1
146086	1	32	1
146086	1	34	1
146086	1	36	1
146086	1	37	1
146086	1	38	3
146086	1	40	2
146086	1	41	3
146086	1	42	2
146086	1	46	1
146086	1	51	1
146086	2	1	96
146086	2	2	1
146086	2	5	1
146086	2	6	1
146086	2	7	2
146086	2	8	3
146086	2	10	1
146086	2	13	2
146086	2	15	1
146086	2	18	1
146086	2	19	1
146086	2	20	6
146086	2	21	1
146086	2	22	2
146086	2	23	1
146086	2	24	4
146086	2	25	3
146086	2	26	2
146086	2	27	3
146086	2	28	3
146086	2	33	1
146086	2	35	2
146086	2	36	1
146086	2	38	1
146086	2	40	1
146086	3	1	100
146086	3	2	2
146086	3	3	1
146086	3	7	2
146086	3	8	1
146086	3	9	1
146086	3	10	3
146086	3	14	1
146086	3	18	1
146086	3	20	5
146086	3	21	1
146086	3	22	4
146086	3	23	1
146086	3	24	1
146086	3	25	2
146086	3	26	4
146086	3	27	1
146086	3	28	3
146086	3	30	1
146086	3	31	1
146086	3	32	1
146086	3	36	2
146086	3	37	1
146086	3	41	1
146086	4	1	135
146086	4	6	1
146086	4	7	3
146086	4	13	1
146086	4	18	1
146086	5	1	135
146086	5	3	1
146086	5	7	1
146086	5	9	1
146086	5	11	1
146086	5	19	1
146086	5	29	1
146086	6	1	134
146086	6	6	1
146086	6	7	1
146086	6	10	3
146086	6	18	1
146086	6	23	1
146086	7	1	128
146086	7	2	1
146086	7	4	2
146086	7	6	2
146086	7	9	1
146086	7	10	1
146086	7	12	2
146086	7	16	1
146086	7	18	1
146086	7	20	1
146086	7	30	1
146086	8	1	87
146086	8	5	2
146086	8	7	1
146086	8	8	2
146086	8	10	1
146086	8	12	1
146086	8	13	1
146086	8	14	1
146086	8	16	1
146086	8	17	2
146086	8	19	2
146086	8	20	9
146086	8	21	1
146086	8	24	1
146086	8	26	1
146086	8	27	2
146086	8	30	4
146086	8	32	3
146086	8	33	1
146086	8	34	1
146086	8	35	3
146086	8	36	2
146086	8	37	2
146086	8	38	1
146086	8	39	1
146086	8	40	4
146086	8	41	3
146086	8	44	1
146086	9	1	125
146086	9	2	1
146086	9	3	2
146086	9	5	1
146086	9	7	2
146086	9	8	2
146086	9	9	1
146086	9	10	1
146086	9	16	2
146086	9	19	1
146086	9	20	3
146086	10	1	132
146086	10	2	4
146086	10	4	1
146086	10	5	2
146086	10	10	1
146086	10	23	1
146086	11	1	140
146086	11	3	1
146086	12	1	137
146086	12	3	1
146086	12	4	1
146086	12	5	1
146086	12	8	1
146086	13	1	134
146086	13	2	1
146086	13	5	1
146086	13	7	1
146086	13	10	1
146086	13	19	1
146086	13	21	1
146086	13	24	1
146086	14	1	141
146086	15	1	141
146086	16	1	135
146086	16	2	1
146086	16	3	1
146086	16	5	1
146086	16	6	3
146086	17	1	125
146086	17	2	3
146086	17	4	2
146086	17	5	1
146086	17	6	2
146086	17	7	1
146086	17	8	1
146086	17	9	1
146086	17	10	1
146086	17	15	1
146086	17	21	1
146086	17	24	2
146086	18	1	141
146086	19	1	141
146086	20	1	141
146086	21	1	141
146086	22	1	141
146086	23	1	141
146090	0	1	125
146090	0	4	1
146090	0	10	1
146090	0	11	1
146090	0	16	2
146090	0	20	2
146090	0	32	1
146090	0	33	2
146090	0	35	2
146090	0	40	2
146090	0	41	1
146090	0	44	1
146090	0	48	1
146090	1	1	120
146090	1	7	1
146090	1	12	1
146090	1	16	1
146090	1	20	3
146090	1	22	1
146090	1	25	2
146090	1	30	1
146090	1	31	2
146090	1	33	1
146090	1	34	1
146090	1	36	2
146090	1	37	1
146090	1	40	2
146090	1	42	1
146090	1	50	1
146090	1	59	1
146090	2	1	114
146090	2	3	2
146090	2	10	1
146090	2	11	2
146090	2	14	1
146090	2	19	1
146090	2	20	3
146090	2	21	2
146090	2	23	1
146090	2	24	1
146090	2	25	1
146090	2	26	1
146090	2	27	1
146090	2	28	1
146090	2	30	4
146090	2	31	1
146090	2	32	1
146090	2	34	1
146090	2	35	1
146090	2	40	1
146090	2	47	1
146090	3	1	116
146090	3	4	1
146090	3	5	1
146090	3	13	1
146090	3	17	2
146090	3	20	2
146090	3	21	2
146090	3	23	1
146090	3	24	2
146090	3	25	2
146090	3	26	1
146090	3	27	1
146090	3	28	1
146090	3	30	3
146090	3	31	2
146090	3	32	1
146090	3	35	1
146090	3	42	2
146090	4	1	139
146090	4	5	1
146090	4	9	1
146090	4	15	1
146090	5	1	139
146090	5	7	1
146090	5	20	2
146090	6	1	134
146090	6	4	2
146090	6	7	2
146090	6	10	1
146090	6	11	1
146090	6	17	1
146090	6	24	1
146090	7	1	133
146090	7	3	1
146090	7	5	1
146090	7	8	1
146090	7	10	2
146090	7	14	1
146090	7	19	1
146090	7	20	1
146090	7	28	1
146090	8	1	106
146090	8	7	1
146090	8	8	1
146090	8	9	1
146090	8	12	2
146090	8	15	1
146090	8	20	5
146090	8	21	2
146090	8	22	1
146090	8	25	1
146090	8	27	1
146090	8	28	1
146090	8	30	7
146090	8	31	2
146090	8	34	1
146090	8	36	1
146090	8	40	3
146090	8	41	1
146090	8	42	2
146090	8	45	1
146090	8	51	1
146090	9	1	136
146090	9	2	1
146090	9	4	2
146090	9	7	1
146090	9	12	1
146090	9	21	1
146090	10	1	135
146090	10	2	2
146090	10	5	1
146090	10	21	1
146090	10	24	1
146090	10	26	2
146090	11	1	139
146090	11	2	1
146090	11	3	1
146090	11	14	1
146090	12	1	142
146090	13	1	138
146090	13	2	1
146090	13	5	1
146090	13	9	1
146090	13	17	1
146090	14	1	142
146090	15	1	142
146090	16	1	135
146090	16	3	1
146090	16	4	2
146090	16	6	1
146090	16	9	1
146090	16	26	1
146090	16	44	1
146090	17	1	134
146090	17	2	1
146090	17	3	1
146090	17	5	1
146090	17	6	2
146090	17	10	1
146090	17	16	1
146090	17	25	1
146090	18	1	142
146090	19	1	142
146090	20	1	142
146090	21	1	142
146090	22	1	142
146090	23	1	142
153087	0	1	79
153087	0	8	1
153087	0	10	1
153087	0	12	1
153087	0	15	1
153087	0	20	6
153087	0	25	1
153087	0	27	1
153087	0	30	1
153087	0	33	2
153087	0	39	1
153087	0	40	1
153087	0	43	3
153087	0	44	2
153087	0	46	1
153087	1	1	57
153087	1	7	2
153087	1	9	1
153087	1	10	2
153087	1	11	2
153087	1	12	2
153087	1	13	1
153087	1	14	1
153087	1	17	1
153087	1	19	2
153087	1	20	5
153087	1	21	2
153087	1	22	2
153087	1	23	1
153087	1	25	1
153087	1	27	2
153087	1	28	2
153087	1	29	2
153087	1	30	1
153087	1	32	1
153087	1	35	1
153087	1	36	1
153087	1	37	1
153087	1	39	1
153087	1	40	5
153087	1	41	1
153087	1	44	1
153087	1	45	1
153087	2	1	55
153087	2	3	1
153087	2	4	1
153087	2	5	1
153087	2	7	1
153087	2	10	4
153087	2	12	1
153087	2	14	3
