gateway_id	role_id	sheet_id	count(*)
1	117176	圣灵珠·5级	7
1	117176	圣灵珠·6级	3
1	117176	物理防御水晶·6级	10
1	117176	血宝石·6级	6
1	117176	血宝石·7级	4
1	117176	黑玛瑙·5级	1
1	117176	毒灵珠·5级	6
1	117176	毒灵珠·6级	4
1	117176	法术防御水晶·6级	10
1	117176	法术攻击水晶·7级	10
1	117176	木灵珠·5级	9
1	129565	圣灵珠·2级	1
1	129565	物理防御水晶·4级	6
1	129565	物理攻击水晶·4级	10
1	129565	血宝石·4级	8
1	129565	血宝石·5级	2
1	129565	法术防御水晶·4级	4
1	130328	圣灵珠·3级	7
1	130328	物理防御水晶·4级	9
1	130328	物理防御水晶·5级	1
1	130328	血宝石·5级	10
1	130328	法术防御水晶·4级	5
1	130328	法术防御水晶·5级	1
1	130328	法术攻击水晶·4级	4
1	130328	法术攻击水晶·5级	6
1	136659	圣灵珠·4级	9
1	136659	圣灵珠·5级	1
1	136659	火灵珠·3级	7
1	136659	火灵珠·4级	3
1	136659	物理防御水晶·5级	10
1	136659	物理攻击水晶·6级	10
1	136659	血宝石·6级	10
1	136659	法术防御水晶·5级	10
1	138904	圣灵珠·1级	1
1	138904	圣灵珠·4级	6
1	138904	圣灵珠·5级	3
1	138904	火灵珠·3级	4
1	138904	火灵珠·4级	1
1	138904	物理命中眼石·4级	3
1	138904	物理命中眼石·5级	2
1	138904	物理防御水晶·4级	3
1	138904	物理防御水晶·5级	7
1	138904	物理攻击水晶·5级	1
1	138904	物理攻击水晶·6级	9
1	138904	血宝石·5级	10
1	138904	法术防御水晶·4级	3
1	138904	法术防御水晶·5级	7
1	139789	圣灵珠·4级	7
1	139789	圣灵珠·5级	2
1	139789	物理防御水晶·5级	9
1	139789	物理防御水晶·6级	1
1	139789	物理攻击水晶·6级	10
1	139789	血宝石·6级	10
1	139789	雷灵珠·3级	5
1	139789	雷灵珠·4级	1
1	139789	水灵珠·3级	4
1	139789	法术防御水晶·5级	8
1	139789	法术防御水晶·6级	2
1	139789	法术闪避石·1级	3
1	141178	圣灵珠·4级	10
1	141178	物理防御水晶·5级	10
1	141178	血宝石·5级	10
1	141178	毒灵珠·2级	2
1	141178	毒灵珠·3级	1
1	141178	法术命中眼石·4级	1
1	141178	法术防御水晶·5级	10
1	141178	法术攻击水晶·5级	9
1	141178	法术攻击水晶·6级	1
1	147871	圣灵珠·5级	9
1	147871	物理防御水晶·6级	10
1	147871	血宝石·6级	10
1	147871	黑玛瑙·3级	1
1	147871	黑玛瑙·5级	1
1	147871	毒灵珠·5级	10
1	147871	法术防御水晶·5级	2
1	147871	法术防御水晶·6级	8
1	147871	法术攻击水晶·6级	5
1	147871	法术攻击水晶·7级	5
1	147871	木灵珠·5级	9
1	150878	物理攻击水晶·3级	1
1	150878	血宝石·1级	1
1	150878	血宝石·2级	3
1	150878	血宝石·3级	5
1	150878	血宝石·4级	1
1	151626	物理防御水晶·3级	1
1	151626	血宝石·3级	6
1	151626	血宝石·4级	4
1	151626	法力宝石·1级	1
1	151626	法力宝石·3级	1
1	151626	法术攻击水晶·3级	5
1	157662	圣灵珠·4级	8
1	157662	圣灵珠·5级	2
1	157662	火灵珠·4级	5
1	157662	物理防御水晶·5级	10
1	157662	血宝石·5级	10
1	157662	毒灵珠·4级	1
1	157662	法术防御水晶·5级	10
1	157662	法术攻击水晶·5级	7
1	157662	法术攻击水晶·6级	3
1	173575	血宝石·3级	6
1	173575	血宝石·4级	4
1	173575	法术攻击水晶·3级	7
1	173575	法术攻击水晶·4级	3
1	182653	圣灵珠·4级	3
1	182653	圣灵珠·5级	7
1	182653	火灵珠·4级	9
1	182653	火灵珠·5级	1
1	182653	物理防御水晶·5级	9
1	182653	物理防御水晶·6级	1
1	182653	物理攻击水晶·6级	10
1	182653	血宝石·5级	7
1	182653	血宝石·6级	3
1	182653	赤玛瑙·2级	2
1	182653	法术防御水晶·5级	3
1	182653	法术防御水晶·6级	7
1	188201	圣灵珠·5级	10
1	188201	物理防御水晶·5级	4
1	188201	物理防御水晶·6级	6
1	188201	血宝石·6级	10
1	188201	黑玛瑙·3级	1
1	188201	黑玛瑙·4级	6
1	188201	毒灵珠·5级	9
1	188201	毒灵珠·6级	1
1	188201	法术防御水晶·6级	10
1	188201	法术攻击水晶·6级	4
1	188201	法术攻击水晶·7级	6
1	188201	木灵珠·4级	2
1	188201	木灵珠·5级	1
1	199750	圣灵珠·5级	10
1	199750	物理防御水晶·6级	10
1	199750	血宝石·6级	10
1	199750	风灵珠·4级	1
1	199750	风灵珠·5级	9
1	199750	水灵珠·4级	9
1	199750	水灵珠·5级	1
1	199750	法术防御水晶·5级	6
1	199750	法术防御水晶·6级	4
1	199750	法术攻击水晶·6级	3
1	199750	法术攻击水晶·7级	7
1	202222	圣灵珠·4级	10
1	202222	物理防御水晶·5级	10
1	202222	血宝石·5级	10
1	202222	毒灵珠·2级	2
1	202222	毒灵珠·3级	1
1	202222	法术防御水晶·5级	10
1	202222	法术攻击水晶·5级	7
1	202222	法术攻击水晶·6级	3
1	208877	圣灵珠·4级	8
1	208877	圣灵珠·5级	2
1	208877	物理防御水晶·5级	9
1	208877	物理防御水晶·6级	1
1	208877	血宝石·5级	1
1	208877	血宝石·6级	9
1	208877	毒灵珠·3级	2
1	208877	毒灵珠·4级	8
1	208877	法术防御水晶·5级	10
1	208877	法术攻击水晶·6级	10
1	208877	木灵珠·2级	1
1	208877	木灵珠·3级	5
1	215505	血宝石·1级	5
1	215505	血宝石·3级	4
1	215505	血宝石·4级	1
1	217183	圣灵珠·3级	2
1	217183	圣灵珠·4级	5
1	217183	物理防御水晶·5级	10
1	217183	血宝石·5级	10
1	217183	法力宝石·4级	4
1	217183	法术防御水晶·4级	3
1	217183	法术防御水晶·5级	3
1	217183	法术攻击水晶·5级	10
1	225222	圣灵珠·3级	9
1	225222	火灵珠·4级	1
1	225222	物理防御水晶·4级	4
1	225222	物理防御水晶·5级	3
1	225222	物理攻击水晶·5级	10
1	225222	血宝石·5级	10
1	225222	法术防御水晶·4级	7
1	225222	法术防御水晶·5级	3
1	225621	圣灵珠·5级	10
1	225621	紫玛瑙·2级	1
1	225621	紫玛瑙·3级	1
1	225621	物理防御水晶·5级	5
1	225621	物理防御水晶·6级	5
1	225621	物理攻击水晶·6级	10
1	225621	血宝石·6级	10
1	225621	雷灵珠·4级	7
1	225621	雷灵珠·5级	3
1	225621	水灵珠·3级	4
1	225621	水灵珠·4级	4
1	225621	法术防御水晶·5级	6
1	225621	法术防御水晶·6级	4
1	228117	圣灵珠·3级	1
1	228117	圣灵珠·4级	9
1	228117	物理防御水晶·4级	4
1	228117	物理防御水晶·5级	6
1	228117	血宝石·5级	10
1	228117	风灵珠·3级	7
1	228117	风灵珠·4级	3
1	228117	水灵珠·3级	6
1	228117	水灵珠·4级	1
1	228117	法术防御水晶·4级	1
1	228117	法术攻击水晶·5级	10
1	233416	圣灵珠·4级	7
1	233416	圣灵珠·5级	3
1	233416	火灵珠·4级	8
1	233416	火灵珠·5级	2
1	233416	物理防御水晶·5级	1
1	233416	物理攻击水晶·5级	10
1	233416	血宝石·5级	6
1	233416	血宝石·6级	4
1	233416	赤玛瑙·3级	1
1	233416	法力宝石·5级	2
1	233416	法术攻击水晶·5级	3
1	236941	圣灵珠·4级	5
1	236941	圣灵珠·5级	3
1	236941	物理防御水晶·5级	10
1	236941	血宝石·5级	10
1	236941	风灵珠·3级	5
1	236941	风灵珠·4级	3
1	236941	法术防御水晶·5级	10
1	236941	法术闪避石·5级	4
1	236941	法术攻击水晶·6级	10
1	237025	圣灵珠·5级	4
1	237025	火灵珠·2级	3
1	237025	火灵珠·3级	2
1	237025	火灵珠·4级	1
1	237025	火灵珠·5级	2
1	237025	物理防御水晶·5级	10
1	237025	物理攻击水晶·2级	3
1	237025	物理攻击水晶·3级	1
1	237025	物理攻击水晶·4级	1
1	237025	物理攻击水晶·5级	1
1	237025	物理攻击水晶·6级	4
1	237025	血宝石·4级	1
1	237025	血宝石·5级	1
1	237025	血宝石·6级	6
1	237025	蓝玛瑙·2级	1
1	237025	法术防御水晶·5级	10
1	240611	圣灵珠·4级	3
1	240611	圣灵珠·5级	7
1	240611	物理防御水晶·5级	9
1	240611	物理防御水晶·6级	1
1	240611	血宝石·5级	2
1	240611	血宝石·6级	8
1	240611	风灵珠·4级	10
1	240611	水灵珠·3级	1
1	240611	水灵珠·4级	9
1	240611	法术防御水晶·5级	7
