gateway_id	evil_level	evil_star	player_count
1	1	0	211
1	1	1	5
1	1	2	1
1	1	3	2
1	2	5	1
10	1	0	65
10	1	1	1
10	1	2	1
10	1	4	1
51	1	0	66
55	1	0	62
55	1	1	3
55	1	2	1
55	1	3	1
55	2	2	2
55	3	3	1
65	1	0	70
65	1	2	2
65	1	3	1
65	2	0	1
65	2	1	1
67	1	0	19
67	1	1	1
67	1	2	1
67	1	5	1
70	1	0	23
71	1	0	7
71	1	3	1
71	1	4	1
72	1	0	12
73	1	0	7
75	1	0	61
77	1	0	33
78	1	0	68
80	1	0	92
146001	1	0	316
146001	1	1	5
146001	1	5	1
146001	2	0	1
146001	2	1	2
146001	3	3	1
146001	3	4	2
146001	4	1	1
146001	4	3	1
146001	5	3	1
146001	5	4	2
146002	1	0	146
146002	1	1	1
146002	1	2	1
146002	1	3	1
146002	1	4	1
146002	2	0	2
146005	1	0	284
146005	1	1	4
146005	1	2	4
146005	1	3	2
146005	1	5	2
146005	2	3	1
146005	3	0	1
146005	3	3	1
146005	3	4	1
146005	4	4	2
146005	5	0	1
146031	1	0	31
146031	2	2	1
146031	2	4	1
146040	1	0	201
146040	1	1	3
146040	1	3	3
146040	2	0	2
146040	2	3	1
146040	2	4	2
146040	4	1	1
146051	1	0	135
146051	1	1	2
146051	1	2	1
146051	1	3	1
146051	1	4	1
146051	2	0	1
146051	2	2	2
146051	2	5	1
146051	3	2	1
146051	3	3	1
146051	4	0	1
146062	1	0	137
146062	1	1	4
146062	1	2	2
146062	1	3	1
146062	1	5	1
146062	2	2	1
146062	3	0	1
146070	1	0	155
146070	1	1	3
146070	1	2	3
146070	1	3	1
146070	2	0	2
146070	2	1	1
146070	2	5	1
146070	4	0	1
146070	6	2	2
146072	1	0	108
146072	1	1	2
146072	1	5	1
146072	2	1	2
146072	2	3	1
146072	3	0	1
146072	3	1	1
146072	3	2	1
146072	3	4	2
146072	6	0	1
146075	1	0	120
146075	1	1	3
146075	1	2	1
146075	1	3	3
146075	2	3	1
146075	2	5	1
146075	3	1	1
146075	4	3	1
146077	1	0	70
146077	1	1	3
146077	1	2	2
146077	1	3	1
146077	1	4	2
146082	1	0	224
146082	1	1	5
146082	1	3	1
146082	1	4	1
146082	1	5	1
146086	1	0	75
146086	1	1	6
146086	1	2	1
146086	1	3	1
146086	1	4	1
146086	2	0	1
146086	4	1	1
146088	1	0	106
146088	1	1	1
146088	1	2	2
146088	1	3	1
146088	1	4	2
146088	2	0	1
146088	2	3	1
146088	3	4	1
146089	1	0	159
146089	1	1	1
146089	1	2	4
146089	1	3	1
146089	1	4	1
146089	2	2	1
146089	2	3	1
146089	2	4	1
146089	3	3	1
146091	1	0	55
146091	1	1	2
146091	1	2	1
146091	1	3	3
146091	1	4	2
146091	2	1	2
146091	2	3	1
146092	1	0	193
146092	1	1	5
146092	1	2	5
146092	1	3	1
146092	1	4	1
146092	1	5	1
146092	2	4	1
146092	3	4	1
146094	1	0	140
146094	1	3	2
146094	2	2	1
146094	2	4	1
146096	1	0	127
146096	1	1	3
146096	1	2	2
146096	1	3	3
146096	1	4	3
146096	2	0	1
146096	2	2	1
146096	2	3	2
146096	3	1	1
146096	3	3	1
146098	1	0	67
146098	1	2	2
146098	1	3	2
146098	1	4	1
146098	2	2	1
146098	2	4	1
146098	3	4	1
146099	1	0	96
146099	1	2	1
146099	1	3	4
146099	1	4	1
146099	2	1	2
146099	2	2	1
146099	2	3	1
146099	3	1	1
146099	3	3	1
146099	4	2	1
146100	1	0	114
146100	1	1	1
146100	1	2	1
146100	1	3	4
146100	2	1	1
146100	2	2	2
146100	2	3	1
146100	2	4	1
146100	3	4	2
146101	1	0	68
146101	1	1	2
146101	1	2	1
146101	1	3	2
146101	1	4	2
146101	1	5	1
146101	2	4	1
146101	2	5	1
146102	1	0	92
146102	1	1	3
146102	1	2	2
146102	1	3	2
146102	1	4	1
146102	2	2	1
146102	2	4	1
146102	3	3	1
146102	5	2	1
146103	1	0	84
146103	1	1	3
146103	1	2	1
146103	1	4	1
146103	2	1	3
146103	2	3	1
146103	3	0	1
146103	3	2	1
146104	1	0	38
146104	1	2	1
146111	1	0	156
146111	1	1	1
146111	1	3	2
146111	2	1	1
146111	2	2	1
146112	1	0	141
146112	1	1	1
146112	1	4	2
146112	2	1	1
146112	2	3	1
146113	1	0	118
146113	1	1	1
146114	1	0	174
146115	1	0	316
146115	2	0	1
146116	1	0	700
146117	1	0	141
153001	1	0	324
153001	1	1	4
153001	1	2	2
153001	1	3	2
153001	2	0	3
153001	2	1	1
153001	2	2	2
153001	2	3	1
153001	3	1	1
153002	1	0	104
153002	1	1	4
153002	1	2	3
153002	1	3	2
153005	1	0	84
153005	1	1	1
153005	1	2	3
153005	1	3	1
153005	2	0	1
153005	5	1	1
153007	1	0	165
153007	1	1	4
153007	1	2	4
153007	1	3	3
153007	1	4	1
153007	1	5	1
153007	2	0	1
153007	2	1	1
153007	3	1	1
153007	3	3	1
153007	4	4	1
153009	1	0	165
153009	1	1	3
153009	1	2	2
153009	1	3	3
153009	3	4	1
153009	4	0	1
153009	4	3	1
153011	1	0	83
153011	1	1	2
153011	1	2	1
153011	1	3	1
153011	2	1	1
153011	2	4	1
153011	3	2	1
153015	1	0	237
153015	1	1	3
153015	1	2	3
153015	1	3	2
153015	1	5	1
153015	2	2	1
153015	2	3	3
153015	2	4	2
153015	3	1	1
153015	3	3	2
153015	4	1	1
153015	4	3	1
153019	1	0	70
153019	1	1	3
153019	1	2	2
153019	1	3	2
153019	1	4	1
153019	1	5	1
153019	2	0	1
153019	4	1	1
153020	1	0	94
153020	1	1	3
153020	1	2	1
153020	1	4	2
153020	1	5	2
153020	2	3	1
153020	2	4	1
153020	3	3	1
153023	1	0	200
153023	1	1	1
153023	1	2	2
153023	2	0	2
153023	2	2	2
153023	2	3	1
153023	2	4	1
153023	3	4	1
153023	5	0	1
153023	6	0	1
153023	6	2	1
153023	6	3	1
153023	6	4	2
153028	1	0	135
153028	1	1	1
153028	1	3	4
153028	1	4	1
153028	2	1	3
153028	2	2	1
153028	4	1	1
153028	4	2	1
153028	5	4	1
153033	1	0	154
153033	1	1	3
153033	1	2	3
153033	1	3	2
153033	1	4	2
153033	2	0	1
153033	3	1	1
153033	5	1	1
153040	1	0	48
153040	1	1	2
153040	1	4	1
153040	2	2	1
153040	4	2	1
153042	1	0	159
153042	1	1	2
153042	1	2	1
153042	1	3	3
153042	2	0	1
153042	2	1	1
153042	2	3	1
153042	3	3	1
153042	4	2	1
153042	6	3	1
153043	1	0	72
153043	1	1	1
153043	1	2	2
153043	1	3	1
153043	1	4	1
153043	3	1	1
153043	3	3	1
153043	3	4	1
153043	4	0	1
153046	1	0	22
153046	1	1	1
153046	1	3	2
153046	3	1	1
153048	1	0	93
153048	1	1	1
153048	1	2	3
153048	1	3	4
153048	1	4	2
153048	1	5	1
153049	1	0	57
153049	1	1	1
153049	1	2	1
153049	1	3	1
153049	2	0	1
153049	2	3	1
153049	5	0	1
153052	1	0	130
153052	1	1	2
153052	1	2	1
153052	1	3	2
153060	1	0	101
153060	1	1	3
153060	1	4	1
153060	2	0	1
153060	2	3	1
153062	1	0	178
153062	1	1	6
153062	1	2	2
153062	1	3	3
153062	1	4	1
153062	2	4	1
153062	3	0	1
153062	4	0	1
153062	5	1	1
153068	1	0	113
153068	1	1	3
153068	1	4	1
153068	2	0	1
153068	2	1	1
153068	2	2	1
153068	3	0	1
153068	4	3	1
153072	1	0	119
153072	1	1	2
153072	1	2	2
153072	1	3	1
153072	1	5	1
153072	2	0	1
153072	2	3	1
153076	1	0	126
153076	1	1	2
153076	1	2	1
153076	1	4	2
153076	2	0	1
153080	1	0	59
153080	1	1	2
153080	1	2	1
153080	1	3	1
153080	1	5	1
153080	2	0	1
153080	2	1	1
153080	2	3	2
153084	1	0	104
153084	1	1	2
153084	1	2	1
153084	1	4	1
153084	3	3	1
153086	1	0	94
153086	1	1	4
153086	1	5	1
153086	2	4	1
153086	2	5	1
153086	3	0	1
153091	1	0	51
153091	1	3	1
153091	2	5	1
153091	5	3	1
153091	6	2	1
153093	1	0	62
153093	1	1	3
153093	1	2	3
153093	1	3	4
153093	1	4	1
153093	1	5	1
153093	2	2	1
153095	1	0	71
153095	1	1	2
153095	1	2	1
153095	1	3	3
153095	1	4	1
153095	2	1	1
153095	3	1	1
153099	1	0	61
153099	1	1	2
153099	3	4	1
153101	1	0	87
153101	1	1	1
153101	1	2	3
153101	1	3	6
153101	1	4	2
153101	2	3	1
153101	3	3	1
153103	1	0	27
153103	1	1	1
153103	1	3	2
153103	1	4	1
153103	2	4	1
153104	1	0	70
153104	1	1	5
153104	6	2	1
153105	1	0	68
153105	1	1	1
153105	2	3	1
153105	6	0	1
153107	1	0	54
153107	1	1	2
153107	1	2	1
153107	1	4	1
153107	6	3	1
153111	1	0	33
153111	1	2	1
153112	1	0	48
153113	1	0	62
153114	1	0	103
153114	1	1	1
153115	1	0	89
153116	1	0	130
153117	1	0	183
153117	2	0	1
153118	1	0	45
155003	1	0	143
155005	1	0	384
240001	1	0	191
240001	1	1	2
240001	1	2	2
240001	1	3	2
240001	2	0	2
240002	1	0	98
240002	1	1	1
240002	2	0	1
241001	1	0	250
241001	1	1	2
241001	1	3	3
241001	2	0	2
241001	2	1	1
241001	2	2	1
241001	2	3	1
241001	2	4	1
241001	3	3	1
241001	3	4	1
241001	4	3	1
247001	1	0	169
247001	1	1	3
247001	1	2	3
247001	2	0	1
247001	3	2	1
247005	1	0	175
247005	1	1	3
247005	1	2	2
247005	1	3	2
247005	1	4	1
247005	2	0	1
247005	2	1	1
247005	2	4	1
247005	3	2	1
247005	3	4	2
247009	1	0	213
247009	1	1	6
247009	1	2	2
247009	1	3	1
247009	1	4	2
247009	2	1	3
247009	2	5	1
247009	3	5	1
247023	1	0	202
247023	1	1	1
247023	1	2	1
247023	1	3	1
247023	1	4	1
247023	2	0	1
247023	2	1	1
247023	2	2	2
247023	2	3	2
247023	2	4	1
250001	1	0	266
250001	1	1	6
250001	1	2	3
250001	1	3	5
250001	1	5	1
250001	2	0	1
250001	2	1	1
250001	3	4	1
431001	1	0	199
431001	1	1	3
431001	1	4	1
431001	2	1	1
431001	2	2	1
431004	1	0	133
431008	1	0	120
431008	1	1	1
431008	1	5	1
431008	2	1	1
431008	2	2	1
431011	1	0	133
431011	1	1	1
431011	2	3	1
431011	2	4	1
431014	1	0	91
431014	1	1	1
431014	1	3	1
431014	1	5	1
431017	1	0	43
431017	1	1	1
431018	1	0	108
431019	1	0	286
431019	1	1	1
431019	3	3	1
431019	3	4	1
431020	1	0	370
431020	1	1	2
431020	1	3	1
431021	1	0	215
439002	1	0	79
439002	1	1	3
439002	3	4	1
439002	4	4	1
439004	1	0	139
439004	1	1	2
439004	1	5	2
439008	1	0	147
439008	1	1	1
439008	2	0	1
439010	1	0	207
439010	1	2	1
439010	1	4	1
439010	2	2	1
439010	2	3	1
439012	1	0	652
439012	1	1	1
439014	1	0	364
