gateway_id	evil_level	evil_star	player_count
146086	1	0	484
146090	1	0	656
146098	1	0	411
146098	1	2	1
146098	1	4	1
146098	2	0	2
146098	2	2	2
146098	3	1	1
146102	1	0	265
146102	1	1	4
146102	1	2	2
146102	1	3	3
146102	2	2	1
146102	2	4	1
146102	3	3	1
146102	4	3	1
146107	1	0	269
146107	1	1	1
146107	1	2	1
146107	1	5	1
146107	2	0	2
146111	1	0	171
146111	1	1	2
146111	1	2	1
146111	2	1	1
146111	2	2	1
153087	1	0	161
153091	1	0	384
153099	1	0	169
153099	1	1	3
153099	2	3	1
153099	2	4	1
153103	1	0	138
153103	1	1	1
153103	1	3	4
153103	1	4	1
153103	1	5	1
153108	1	0	79
153108	1	1	2
153108	2	0	1
153112	1	0	57
