gateway_id	evil_level	evil_star	player_count
146086	1	0	127
146086	1	1	6
146086	1	2	1
146086	1	3	1
146086	1	4	1
146086	2	0	1
146086	4	1	1
146090	1	0	94
146090	1	2	4
146090	1	4	1
146090	2	4	1
146090	3	3	1
146098	1	0	68
146098	1	2	3
146098	1	3	2
146098	1	4	1
146098	2	2	1
146098	2	4	1
146098	3	4	1
146102	1	0	106
146102	1	1	3
146102	1	2	3
146102	1	3	2
146102	1	4	1
146102	2	2	1
146102	2	4	1
146102	3	3	1
146102	5	2	1
146107	1	0	116
146107	1	2	2
146107	1	5	1
146107	2	0	1
146111	1	0	171
146111	1	1	2
146111	1	2	1
146111	2	1	1
146111	2	2	1
153087	1	0	102
153087	1	1	4
153087	1	5	1
153087	2	4	1
153087	2	5	1
153087	3	0	1
153091	1	0	40
153091	1	3	2
153091	2	5	1
153091	5	1	1
153091	6	2	1
153099	1	0	37
153099	1	1	2
153099	3	0	1
153103	1	0	27
153103	1	1	2
153103	1	3	3
153103	1	4	1
153103	2	4	1
153108	1	0	22
153108	1	1	2
153108	2	0	1
153108	5	1	1
153112	1	0	57
