gateway_id	immortal_level	immortal_star	player_count
146086	1	0	428
146086	1	1	20
146086	1	2	8
146086	1	3	12
146086	1	4	8
146086	1	5	5
146086	2	0	2
146086	2	4	1
146090	1	0	604
146090	1	1	23
146090	1	2	9
146090	1	3	8
146090	1	4	5
146090	1	5	2
146090	2	0	1
146090	2	3	4
146098	1	0	374
146098	1	1	14
146098	1	2	5
146098	1	3	8
146098	1	4	8
146098	1	5	2
146098	2	0	3
146098	2	1	2
146098	2	3	1
146098	3	1	1
146102	1	0	233
146102	1	1	13
146102	1	2	10
146102	1	3	8
146102	1	4	2
146102	1	5	2
146102	2	1	7
146102	2	2	2
146102	3	3	1
146107	1	0	237
146107	1	1	17
146107	1	2	8
146107	1	3	5
146107	1	4	1
146107	1	5	1
146107	2	0	2
146107	2	2	1
146107	2	4	1
146107	3	0	1
146111	1	0	143
146111	1	1	14
146111	1	2	4
146111	1	3	1
146111	1	4	2
146111	1	5	2
146111	2	0	3
146111	2	1	2
146111	2	2	1
146111	2	3	1
146111	2	4	2
146111	3	3	1
153087	1	0	127
153087	1	1	15
153087	1	2	8
153087	1	3	5
153087	1	4	1
153087	2	2	2
153087	2	4	1
153087	3	0	1
153087	4	0	1
153091	1	0	351
153091	1	1	10
153091	1	2	8
153091	1	3	3
153091	1	4	3
153091	1	5	1
153091	2	0	2
153091	2	1	2
153091	2	2	2
153091	3	0	1
153091	3	3	1
153099	1	0	149
153099	1	1	8
153099	1	2	2
153099	1	3	5
153099	1	4	4
153099	1	5	2
153099	2	1	2
153099	2	2	1
153099	2	3	1
153103	1	0	107
153103	1	1	13
153103	1	2	5
153103	1	3	6
153103	1	4	2
153103	1	5	4
153103	2	1	2
153103	2	2	1
153103	2	3	1
153103	2	4	2
153103	2	5	1
153103	3	1	1
153108	1	0	69
153108	1	1	1
153108	1	2	3
153108	1	3	3
153108	1	4	1
153108	1	5	1
153108	2	3	2
153108	2	4	1
153108	3	0	1
153112	1	0	42
153112	1	1	3
153112	1	2	1
153112	1	3	5
153112	1	5	1
153112	2	0	1
153112	2	1	1
153112	2	3	1
153112	2	4	1
153112	2	5	1
