gateway_id	immortal_level	immortal_star	player_count
146086	1	0	91
146086	1	1	10
146086	1	2	3
146086	1	3	4
146086	1	4	2
146086	1	5	2
146086	2	2	4
146086	2	3	2
146086	2	4	2
146086	3	0	4
146086	3	2	1
146086	3	3	3
146086	3	4	2
146086	4	0	2
146086	4	1	1
146086	4	2	1
146086	4	4	1
146086	5	0	2
146086	5	3	1
146086	5	4	1
146086	6	2	1
146090	1	0	107
146090	1	1	4
146090	1	3	1
146090	1	5	1
146090	2	2	1
146090	2	3	1
146090	2	4	1
146090	2	5	2
146090	3	0	2
146090	3	1	1
146090	3	3	2
146090	3	5	1
146090	4	1	3
146090	4	3	2
146090	4	4	2
146090	5	0	2
146090	5	2	1
146090	5	3	2
146090	6	0	1
146090	6	3	1
153087	1	0	44
153087	1	1	12
153087	1	2	4
153087	1	3	3
153087	1	5	5
153087	2	0	1
153087	2	1	2
153087	2	2	2
153087	2	3	1
153087	2	4	3
153087	2	5	2
153087	3	1	2
153087	3	2	1
153087	3	3	1
153087	3	4	1
153087	3	5	2
153087	4	1	3
153087	4	2	1
153087	4	3	1
153087	4	4	2
153087	5	1	2
153087	5	2	1
153087	5	3	3
153087	6	0	1
153091	1	0	92
153091	1	1	6
153091	1	2	2
153091	1	3	3
153091	1	4	2
153091	1	5	1
153091	2	0	2
153091	2	1	3
153091	2	2	1
153091	2	3	1
153091	2	4	1
153091	3	0	1
153091	3	1	2
153091	3	2	1
153091	3	3	2
153091	3	5	1
153091	4	2	1
153091	4	3	1
153091	4	4	1
153091	4	5	1
153091	5	3	1
153091	5	4	1
153091	6	0	1
153091	6	1	3
153091	6	2	3
