gateway_id	role_id	item_type	value	sheet_id	quantity
1	117176	1	剑纹·长生·极	332001814.sitem	1
1	117176	1	剑纹·金刚·极	332002010.sitem	1
1	117176	1	剑纹·无量·极	332002111.sitem	1
1	117176	1	剑纹·龙吟·极	332002314.sitem	1
1	117176	1	剑纹·月华·极	332002509.sitem	1
1	117176	1	剑纹·破军·极	332003110.sitem	1
1	117176	1	剑纹·贪狼·极	332003210.sitem	1
1	117176	1	剑纹·七杀·极	332003310.sitem	1
1	138904	1	剑纹·阳炎·高	332001408.sitem	1
1	138904	1	剑纹·长生·极	332001808.sitem	1
1	138904	1	剑纹·金刚·极	332002008.sitem	1
1	138904	1	剑纹·无量·极	332002108.sitem	1
1	138904	1	剑纹·虎咬·极	332002215.sitem	1
1	138904	1	剑纹·星移·极	332002708.sitem	1
1	139700	1	剑纹·长生·极	332001810.sitem	1
1	139700	1	剑纹·金刚·极	332002011.sitem	1
1	139700	1	剑纹·无量·极	332002110.sitem	1
1	139700	1	剑纹·龙吟·极	332002311.sitem	1
1	139700	1	剑纹·斗转·极	332002604.sitem	1
1	139700	1	剑纹·星移·极	332002704.sitem	1
1	139700	1	剑纹·破军·极	332003103.sitem	1
1	139700	1	剑纹·七杀·极	332003304.sitem	1
1	139789	1	剑纹·长生·极	332001814.sitem	1
1	139789	1	剑纹·金刚·极	332002010.sitem	1
1	139789	1	剑纹·无量·极	332002110.sitem	1
1	139789	1	剑纹·虎咬·极	332002211.sitem	1
1	139789	1	剑纹·阳炎·极	332002406.sitem	1
1	139789	1	剑纹·斗转·极	332002606.sitem	1
1	139789	1	剑纹·七杀·极	332003301.sitem	1
1	144111	1	剑纹·虎咬·中	332002801.sitem	1
1	144111	1	剑纹·龙吟·中	332002901.sitem	1
1	147871	1	剑纹·长生·极	332001811.sitem	1
1	147871	1	剑纹·金刚·极	332002008.sitem	1
1	147871	1	剑纹·无量·极	332002111.sitem	1
1	147871	1	剑纹·龙吟·极	332002313.sitem	1
1	147871	1	剑纹·月华·极	332002507.sitem	1
1	147871	1	剑纹·破军·极	332003110.sitem	1
1	147871	1	剑纹·贪狼·极	332003210.sitem	1
1	147871	1	剑纹·七杀·极	332003309.sitem	1
1	174308	1	剑纹·长生·高	332000809.sitem	1
1	174308	1	剑纹·虎咬·高	332001209.sitem	1
1	182653	1	剑纹·长生·极	332001811.sitem	1
1	182653	1	剑纹·金刚·极	332002010.sitem	1
1	182653	1	剑纹·无量·极	332002111.sitem	1
1	182653	1	剑纹·虎咬·极	332002211.sitem	1
1	182653	1	剑纹·阳炎·极	332002410.sitem	1
1	182653	1	剑纹·破军·极	332003109.sitem	1
1	182653	1	剑纹·贪狼·极	332003209.sitem	1
1	182653	1	剑纹·七杀·极	332003308.sitem	1
1	188201	1	剑纹·长生·极	332001810.sitem	1
1	188201	1	剑纹·金刚·极	332002010.sitem	1
1	188201	1	剑纹·无量·极	332002110.sitem	1
1	188201	1	剑纹·龙吟·极	332002314.sitem	1
1	188201	1	剑纹·月华·极	332002507.sitem	1
1	188201	1	剑纹·破军·极	332003108.sitem	1
1	188201	1	剑纹·贪狼·极	332003208.sitem	1
1	188201	1	剑纹·七杀·极	332003309.sitem	1
1	199750	1	剑纹·长生·极	332001812.sitem	1
1	199750	1	剑纹·金刚·极	332002011.sitem	1
1	199750	1	剑纹·无量·极	332002112.sitem	1
1	199750	1	剑纹·龙吟·极	332002314.sitem	1
1	199750	1	剑纹·月华·极	332002508.sitem	1
1	199750	1	剑纹·破军·极	332003108.sitem	1
1	199750	1	剑纹·贪狼·极	332003209.sitem	1
1	199750	1	剑纹·七杀·极	332003309.sitem	1
1	208368	1	剑纹·长生·极	332001809.sitem	1
1	208368	1	剑纹·金刚·极	332002009.sitem	1
1	208368	1	剑纹·无量·极	332002105.sitem	1
1	208368	1	剑纹·龙吟·极	332002312.sitem	1
1	208368	1	剑纹·月华·极	332002508.sitem	1
1	208368	1	剑纹·斗转·极	332002607.sitem	1
1	208877	1	剑纹·长生·极	332001810.sitem	1
1	208877	1	剑纹·金刚·极	332002008.sitem	1
1	208877	1	剑纹·无量·极	332002108.sitem	1
1	208877	1	剑纹·龙吟·极	332002310.sitem	1
1	208877	1	剑纹·月华·极	332002507.sitem	1
1	208877	1	剑纹·星移·极	332002706.sitem	1
1	214443	1	剑纹·长生·极	332001811.sitem	1
