gateway_id	role_id	item_type	value	sheet_id	quantity
146086	9821784	2	彗蚀·阳(10级)	423301053.sitem	1
146086	9821784	2	勾陈·灭(6级)	423600651.sitem	1
146086	9821798	2	承影·阴(7级)	423500754.sitem	1
146086	9821798	2	承影·灭(10级)	423501051.sitem	1
146086	9821798	2	承影·阳(10级)	423501053.sitem	1
146086	9821801	2	绝云·灭(3级)	423200351.sitem	1
146086	9821801	2	绝云·阳(10级)	423201053.sitem	1
146086	9821822	2	承影·阴(6级)	423500654.sitem	1
146086	9821822	2	承影·灭(10级)	423501051.sitem	1
146086	9821822	2	承影·阳(10级)	423501053.sitem	1
146086	9821822	2	承影·阴(10级)	423501054.sitem	1
146086	9821853	2	勾陈·阳(9级)	423600953.sitem	1
146086	9821958	2	勾陈·阳(2级)	423600253.sitem	1
146086	9821963	2	绝云·阳(8级)	423200853.sitem	1
146086	9821971	2	彗蚀·阴(9级)	423300954.sitem	1
146086	9821971	2	彗蚀·灭(10级)	423301051.sitem	1
146086	9821971	2	彗蚀·阳(10级)	423301053.sitem	1
146086	9821979	2	彗蚀·阳(10级)	423301053.sitem	1
146086	9821979	2	勾陈·灭(6级)	423600651.sitem	1
146086	9822001	2	绝云·阴(8级)	423200854.sitem	1
146086	9822001	2	绝云·灭(10级)	423201051.sitem	1
146086	9822001	2	绝云·阳(10级)	423201053.sitem	1
146086	9822265	2	承影·灭(11级)	423501151.sitem	1
146086	9822265	2	承影·阴(11级)	423501154.sitem	1
146086	9822265	2	承影·阳(12级)	423501253.sitem	1
146086	9822265	2	勾陈·灭(10级)	423601051.sitem	1
146086	9822265	2	勾陈·阴(10级)	423601054.sitem	1
146086	9822265	2	勾陈·阳(11级)	423601153.sitem	1
146086	9822265	2	勾陈·阴(11级)	423601154.sitem	1
146086	9822265	2	勾陈·灭(12级)	423601251.sitem	1
146086	9822265	2	勾陈·生(12级)	423601252.sitem	1
146086	9822304	2	龙渊·阳(6级)	423400653.sitem	1
146086	9822679	2	承影·阳(1级)	423500153.sitem	1
146086	9823816	2	彗蚀·灭(5级)	423300551.sitem	1
