role_id	gateway_id	char_level	pet_sheet	pet_sheet_name	pet_level	pet_savvy	pet_grow	pet_skill_num	pet_equip_level_plus
9790969	153087	125	040003026.pet	变异-黑熊	124	23000	26800	6	18
9790969	153087	125	040001013.pet	成年-调皮鬼	1	0	12200	4	6
9790969	153087	125	040003025.pet	变异-追夜犬	1	0	27800	9	6
9790969	153087	125	040002021.pet	宝宝-夺命魔蝎	1	0	18000	5	6
9790969	153087	125	040005041.pet	神兽-云中雷	125	42000	21100	18	30
9791000	153087	124	040003012.pet	变异-青鸟	1	26000	18400	10	24
9791000	153087	124	040003026.pet	变异-黑熊	124	0	23300	9	12
9791000	153087	124	040003021.pet	变异-夺命魔蝎	118	23000	22000	4	18
9791510	153087	129	040003041.pet	神兽-云中雷	129	41000	22500	7	48
9791510	153087	129	040005041.pet	神兽-云中雷	129	19000	24000	11	18
9791511	153087	126	040003021.pet	变异-夺命魔蝎	126	16000	21600	3	18
9791511	153087	126	040003026.pet	变异-黑熊	126	23000	28300	6	30
9792239	153087	128	040003027.pet	神兽-屠媚	128	22000	28600	7	24
9792239	153087	128	040003012.pet	变异-青鸟	124	23000	24300	6	28
9792239	153087	128	040003027.pet	神兽-屠媚	126	15000	23000	11	18
9792273	153087	128	040003041.pet	神兽-云中雷	127	31000	26200	16	40
9792273	153087	128	040005041.pet	神兽-云中雷	127	0	21100	6	11
9792608	153087	132	040005027.pet	神兽-屠媚	131	23000	22800	4	12
9792608	153087	132	040003027.pet	神兽-屠媚	130	0	23900	4	6
9792608	153087	132	040005027.pet	神兽-屠媚	131	35000	22800	9	29
9792608	153087	132	040003027.pet	神兽-屠媚	132	40000	24800	12	38
9794256	153087	101	040005011.pet	新手-灵貂小宝	56	1000	16000	3	6
9794256	153087	101	040002015.pet	宝宝-灵貂小宝·�	1	0	15000	4	6
9794256	153087	101	040003015.pet	变异-灵貂小宝·�	1	0	16300	4	6
9794256	153087	101	040001020.pet	成年-浣熊	1	0	11800	3	6
9794256	153087	101	040005048.pet	变异-巧虎	75	0	15200	6	6
9794294	153087	128	040003041.pet	神兽-云中雷	128	20000	22700	10	10
9794294	153087	128	040003027.pet	神兽-屠媚	1	0	25200	8	6
9794294	153087	128	040003014.pet	神兽-熊元帅	128	22000	21500	8	36
9794294	153087	128	040003025.pet	变异-追夜犬	1	20000	19000	4	18
9794375	153087	133	040003025.pet	变异-追夜犬	132	20000	22600	7	6
9794375	153087	133	040005041.pet	神兽-云中雷	117	8000	22800	12	12
9794375	153087	133	040003041.pet	神兽-云中雷	133	62000	22654	8	36
9794375	153087	133	040001013.pet	成年-调皮鬼	1	0	12200	4	6
9794375	153087	133	040005041.pet	神兽-云中雷	133	51000	23100	11	32
9794619	153087	102	040005048.pet	变异-巧虎	76	0	16200	4	6
9794619	153087	102	040002018.pet	宝宝-灵貂小宝·�	92	20000	20300	8	6
9794619	153087	102	040003018.pet	变异-灵貂小宝·�	74	10000	24800	10	6
9796128	153087	122	040002018.pet	宝宝-灵貂小宝·�	1	0	21200	5	6
9796128	153087	122	040003018.pet	变异-灵貂小宝·�	120	32000	19900	8	31
9796128	153087	122	040003018.pet	变异-灵貂小宝·�	113	7000	19100	10	20
9797162	153087	132	040003046.pet	神兽-九尾狐	132	52000	20300	16	37
9797162	153087	132	040001013.pet	成年-调皮鬼	1	0	12100	4	6
9797162	153087	132	040003004.pet	神兽-魁麟	132	16000	27600	5	13
