gateway_id	slot_id	cur_level	player_count
1	1	0	86
1	1	1	10
1	1	2	2
1	1	3	4
1	1	4	2
1	1	5	3
1	1	6	1
1	1	7	2
1	1	8	4
1	1	9	3
1	1	10	21
1	1	11	11
1	1	12	3
1	1	13	3
1	1	14	3
1	1	15	1
1	2	0	149
1	2	1	2
1	2	2	1
1	2	3	1
1	2	5	2
1	2	12	2
1	2	14	2
1	3	0	158
1	3	2	1
1	4	0	83
1	4	1	13
1	4	2	3
1	4	3	3
1	4	4	1
1	4	5	2
1	4	6	4
1	4	8	2
1	4	9	2
1	4	10	21
1	4	11	16
1	4	12	4
1	4	13	3
1	4	14	2
1	5	0	116
1	5	1	5
1	5	2	7
1	5	3	2
1	5	4	3
1	5	5	7
1	5	6	1
1	5	7	2
1	5	8	2
1	5	9	3
1	5	10	9
1	5	11	2
1	6	0	88
1	6	1	5
1	6	2	4
1	6	3	3
1	6	4	5
1	6	5	2
1	6	7	3
1	6	8	4
1	6	9	4
1	6	10	21
1	6	11	10
1	6	12	5
1	6	13	2
1	6	14	2
1	6	15	1
1	7	0	150
1	7	1	3
1	7	3	1
1	7	4	1
1	7	10	1
1	7	12	1
1	7	13	1
1	7	14	1
1	8	0	157
1	8	1	1
1	8	4	1
1	9	0	86
1	9	1	4
1	9	2	5
1	9	3	1
1	9	4	3
1	9	5	2
1	9	6	1
1	9	7	2
1	9	8	2
1	9	9	1
1	9	10	23
1	9	11	17
1	9	12	6
1	9	13	3
1	9	14	3
1	10	0	111
1	10	1	5
1	10	2	5
1	10	3	3
1	10	5	5
1	10	6	1
1	10	7	3
1	10	8	3
1	10	9	4
1	10	10	17
1	10	11	2
10	1	0	27
10	1	1	2
10	1	5	1
10	1	6	3
10	1	7	1
10	1	9	1
10	1	10	8
10	1	11	4
10	1	12	3
10	2	0	43
10	2	1	1
10	2	2	3
10	2	4	1
10	2	7	2
10	3	0	47
10	3	1	1
10	3	2	1
10	3	6	1
10	4	0	20
10	4	2	1
10	4	3	1
10	4	5	2
10	4	6	1
10	4	8	2
10	4	9	1
10	4	10	7
10	4	11	9
10	4	12	3
10	4	14	2
10	4	15	1
10	5	0	38
10	5	1	1
10	5	2	2
10	5	3	2
10	5	4	1
10	5	5	1
10	5	7	2
10	5	10	3
10	6	0	27
10	6	5	1
10	6	6	1
10	6	8	1
10	6	10	11
10	6	11	7
10	6	12	1
10	6	13	1
10	7	0	45
10	7	3	1
10	7	4	2
10	7	6	1
10	7	10	1
10	8	0	48
10	8	1	1
10	8	6	1
10	9	0	20
10	9	2	1
10	9	3	1
10	9	5	1
10	9	6	1
10	9	7	1
10	9	8	1
10	9	9	1
10	9	10	6
10	9	11	12
10	9	12	3
10	9	14	1
10	9	15	1
10	10	0	38
10	10	2	3
10	10	3	1
10	10	5	3
10	10	7	2
10	10	9	1
10	10	10	2
51	1	0	26
51	1	1	3
51	1	3	2
51	1	4	1
51	1	5	2
51	1	6	1
51	1	7	1
51	1	10	5
51	1	11	2
51	1	12	3
51	2	0	37
51	2	1	1
51	2	2	2
51	2	3	1
51	2	4	4
51	2	6	1
51	3	0	41
51	3	1	2
51	3	2	1
51	3	5	1
51	3	6	1
51	4	0	29
51	4	1	1
51	4	2	1
51	4	3	2
51	4	4	2
51	4	6	1
51	4	7	2
51	4	8	1
51	4	9	1
51	4	10	3
51	4	11	1
51	4	12	2
51	5	0	30
51	5	1	3
51	5	3	2
51	5	4	2
51	5	6	3
51	5	7	1
51	5	10	2
51	5	11	2
51	5	14	1
51	6	0	27
51	6	1	1
51	6	2	2
51	6	3	2
51	6	4	1
51	6	6	2
51	6	8	1
51	6	9	2
51	6	10	2
51	6	11	2
51	6	12	3
51	6	13	1
51	7	0	43
51	7	1	2
51	7	3	1
51	8	0	42
51	8	2	3
51	8	5	1
51	9	0	30
51	9	1	1
51	9	3	1
51	9	4	2
51	9	5	1
51	9	7	1
51	9	10	5
51	9	11	4
51	9	12	1
51	10	0	31
51	10	1	1
51	10	3	1
51	10	4	2
51	10	5	1
51	10	10	7
51	10	11	1
51	10	14	1
51	10	15	1
55	1	0	32
55	1	1	1
55	1	2	3
55	1	4	1
55	1	7	1
55	1	8	1
55	1	10	5
55	1	11	4
55	1	15	1
55	2	0	45
55	2	1	2
55	2	5	1
55	2	12	1
55	3	0	41
55	3	1	3
55	3	2	2
55	3	6	1
55	3	10	1
55	3	13	1
55	4	0	23
55	4	1	2
55	4	4	2
55	4	6	2
55	4	7	1
55	4	8	3
55	4	9	1
55	4	10	3
55	4	11	5
55	4	12	1
55	4	13	1
55	4	14	3
55	4	15	2
55	5	0	31
55	5	1	2
55	5	2	2
55	5	3	2
55	5	4	2
55	5	5	3
55	5	7	1
55	5	8	2
55	5	9	1
55	5	10	2
55	5	11	1
55	6	0	34
55	6	1	1
55	6	2	1
55	6	3	1
55	6	10	6
55	6	11	4
55	6	13	1
55	6	14	1
55	7	0	46
55	7	1	1
55	7	6	1
55	7	12	1
55	8	0	43
55	8	1	3
55	8	2	1
55	8	7	1
55	8	14	1
55	9	0	25
55	9	8	4
55	9	9	2
55	9	10	4
55	9	11	6
55	9	12	2
55	9	13	1
55	9	14	4
55	9	15	1
55	10	0	32
55	10	2	2
55	10	3	3
55	10	5	1
55	10	6	1
55	10	7	4
55	10	8	1
55	10	9	1
55	10	10	2
55	10	11	2
65	1	0	44
65	1	1	2
65	1	2	1
65	1	3	1
65	1	5	1
65	1	8	1
65	1	9	1
65	1	10	1
65	1	11	3
65	1	14	1
65	2	0	53
65	2	2	1
65	2	3	1
65	2	14	1
65	3	0	52
65	3	1	1
65	3	2	1
65	3	4	1
65	3	11	1
65	4	0	26
65	4	1	3
65	4	2	2
65	4	3	1
65	4	4	3
65	4	6	2
65	4	7	1
65	4	8	1
65	4	9	1
65	4	10	2
65	4	11	5
65	4	12	2
65	4	13	3
65	4	14	4
65	5	0	25
65	5	1	2
65	5	2	1
65	5	3	1
65	5	4	2
65	5	5	3
65	5	6	1
65	5	7	2
65	5	10	6
65	5	11	4
65	5	12	2
65	5	13	2
65	5	14	4
65	5	17	1
65	6	0	42
65	6	2	2
65	6	3	1
65	6	4	2
65	6	5	1
65	6	6	1
65	6	7	1
65	6	10	4
65	6	11	2
65	7	0	52
65	7	2	1
65	7	3	1
65	7	4	1
65	7	6	1
65	8	0	50
65	8	1	1
65	8	2	2
65	8	3	1
65	8	11	2
65	9	0	23
65	9	1	1
65	9	2	4
65	9	4	2
65	9	5	1
65	9	7	4
65	9	8	2
65	9	9	2
65	9	10	5
65	9	11	5
65	9	12	3
65	9	13	1
65	9	14	3
65	10	0	23
65	10	1	1
65	10	3	1
65	10	4	4
65	10	6	1
65	10	7	1
65	10	8	2
65	10	9	1
65	10	10	8
65	10	11	7
65	10	12	3
65	10	14	3
65	10	17	1
67	1	0	6
67	1	2	1
67	1	3	1
67	1	5	1
67	2	0	7
67	2	2	1
67	2	4	1
67	3	0	6
67	3	2	1
67	3	3	1
67	3	7	1
67	4	0	5
67	4	7	1
67	4	8	1
67	4	10	2
67	5	0	4
67	5	6	1
67	5	8	2
67	5	10	1
67	5	11	1
67	6	0	3
67	6	2	1
67	6	3	2
67	6	4	2
67	6	11	1
67	7	0	7
67	7	2	1
67	7	4	1
67	8	0	7
67	8	2	1
67	8	3	1
67	9	0	5
67	9	9	2
67	9	10	1
67	9	11	1
67	10	0	5
67	10	7	1
67	10	10	3
70	1	0	2
70	1	1	1
70	1	6	1
70	1	8	1
70	1	10	3
70	1	11	3
70	1	12	2
70	2	0	10
70	2	1	1
70	2	2	1
70	2	10	1
70	3	0	10
70	3	1	1
70	3	3	1
70	3	10	1
70	4	0	7
70	4	3	1
70	4	7	1
70	4	10	3
70	4	13	1
70	5	0	8
70	5	1	2
70	5	3	1
70	5	4	1
70	5	7	1
70	6	0	3
70	6	7	1
70	6	10	6
70	6	11	1
70	6	12	2
70	7	0	10
70	7	2	1
70	7	5	1
70	7	11	1
70	8	0	11
70	8	1	1
70	8	11	1
70	9	0	7
70	9	8	1
70	9	10	4
70	9	12	1
70	10	0	8
70	10	1	2
70	10	3	1
70	10	7	1
70	10	9	1
71	1	0	1
71	1	6	1
71	1	11	1
71	2	0	1
71	2	4	1
71	2	6	1
71	3	0	3
71	4	5	1
71	4	10	2
71	5	0	1
71	5	6	2
71	6	2	1
71	6	8	1
71	6	11	1
71	7	0	1
71	7	1	1
71	7	2	1
71	8	0	3
71	9	10	3
71	10	0	1
71	10	6	1
71	10	7	1
72	1	10	3
72	2	0	2
72	2	4	1
72	3	0	3
72	4	0	1
72	4	4	1
72	4	5	1
72	5	6	1
72	5	7	1
72	5	10	1
72	6	10	3
72	7	0	1
72	7	4	1
72	7	5	1
72	8	0	3
72	9	0	1
72	9	8	1
72	9	10	1
72	10	4	1
72	10	8	1
72	10	10	1
75	1	0	2
75	1	3	1
75	2	0	3
75	3	0	3
75	4	0	1
75	4	3	1
75	4	6	1
75	5	1	2
75	5	3	1
75	6	0	2
75	6	3	1
75	7	0	3
75	8	0	3
75	9	0	1
75	9	4	1
75	9	8	1
75	10	0	1
75	10	2	1
75	10	3	1
146001	1	0	153
146001	1	1	7
146001	1	2	2
146001	1	3	7
146001	1	4	5
146001	1	5	3
146001	1	6	8
146001	1	7	3
146001	1	8	2
146001	1	9	1
146001	1	10	2
146001	1	13	2
146001	2	0	129
146001	2	1	7
146001	2	2	6
146001	2	3	6
146001	2	4	3
146001	2	5	4
146001	2	6	1
146001	2	7	6
146001	2	8	5
146001	2	9	3
146001	2	10	12
146001	2	11	5
146001	2	12	1
146001	2	13	2
146001	2	14	1
146001	2	17	1
146001	2	20	2
146001	2	23	1
146001	3	0	190
146001	3	1	2
146001	3	4	2
146001	3	5	1
146001	4	0	107
146001	4	1	5
146001	4	2	2
146001	4	3	6
146001	4	4	5
146001	4	5	5
146001	4	6	7
146001	4	7	2
146001	4	8	6
146001	4	9	2
146001	4	10	16
