level	count(role_id)
1	4640
2	1815
3	1161
4	1773
5	200
6	1070
7	498
8	1187
9	441
10	627
11	451
12	505
13	494
14	763
15	752
16	323
17	176
18	229
19	168
20	91
21	190
22	122
23	84
24	99
25	322
26	180
27	173
28	70
29	293
30	57
31	74
32	125
33	55
34	115
35	290
36	91
37	129
38	137
39	116
40	159
41	109
42	86
43	203
44	108
45	272
46	227
47	227
48	175
49	194
50	172
51	171
52	126
53	147
54	136
55	123
56	105
57	112
58	93
59	75
60	103
61	91
62	96
63	64
64	75
65	319
66	325
67	262
68	209
69	180
70	322
71	183
72	192
73	171
74	167
75	296
76	251
77	322
78	260
79	214
80	416
81	229
82	223
83	212
84	227
85	247
86	189
87	206
88	172
89	163
90	289
91	197
92	217
93	180
94	203
95	207
96	160
97	155
98	163
99	153
100	456
101	267
102	209
103	303
104	233
105	214
106	231
107	163
108	169
109	155
110	255
111	220
112	219
113	267
114	171
115	167
116	170
117	164
118	135
119	159
120	231
121	243
122	277
123	291
124	262
125	326
126	320
127	357
128	321
129	303
130	445
131	380
132	373
133	283
134	302
135	269
136	212
137	216
138	213
139	209
140	283
141	223
142	210
143	219
144	194
145	197
146	154
147	164
148	144
149	120
150	299
151	25
152	2
153	1
