level	count(*)
1	4532
2	1622
3	869
4	1433
5	167
6	864
7	381
8	901
9	376
10	600
11	411
12	453
13	433
14	610
15	643
16	298
17	146
18	235
19	133
20	61
21	161
22	113
23	69
24	93
25	280
26	145
27	142
28	60
29	231
30	67
31	70
32	103
33	40
34	92
35	255
36	69
37	104
38	118
39	94
40	149
41	96
42	61
43	126
44	99
45	217
46	212
47	191
48	110
49	146
50	146
51	124
52	125
53	136
54	96
55	107
56	94
57	83
58	94
59	90
60	86
61	62
62	76
63	73
64	76
65	287
66	298
67	200
68	167
69	182
70	302
71	173
72	159
73	179
74	148
75	269
76	260
77	312
78	252
79	196
80	471
81	204
82	216
83	214
84	215
85	215
86	207
87	180
88	247
89	219
90	319
91	202
92	206
93	275
94	236
95	216
96	169
97	164
98	147
99	133
100	513
101	269
102	225
103	259
104	276
105	217
106	275
107	226
108	151
109	123
110	235
111	242
112	236
113	244
114	210
115	169
116	183
117	161
118	153
119	133
120	244
121	235
122	273
123	287
124	276
125	312
126	321
127	354
128	323
129	303
130	456
131	379
132	366
133	284
134	290
135	269
136	224
137	221
138	201
139	199
140	287
141	221
142	214
143	203
144	194
145	205
146	165
147	152
148	165
149	125
150	320
151	34
152	2
153	1
