gateway_id	role	count(*)
2581	1	24178
2581	2	14293
2581	3	26563
2581	4	36616
2581	5	1111
25810	1	25267
25810	2	12858
25810	3	24138
25810	4	29106
25810	5	456
25818	1	3822
25818	2	2927
25818	3	4642
25818	4	4552
25818	5	498
25851	1	1344
25851	2	1116
25851	3	1382
25851	4	1446
25851	5	232
25855	1	854
25855	2	1519
25855	3	2098
25855	4	1825
25855	5	1771
25860	1	642
25860	2	947
25860	3	1402
25860	4	1373
25860	5	1102
25863	1	240
25863	2	398
25863	3	613
25863	4	656
25863	5	507
25865	1	388
25865	2	512
25865	3	917
25865	4	997
25865	5	687
25866	1	244
25866	2	435
25866	3	727
25866	4	805
25866	5	595
25867	1	231
25867	2	346
25867	3	550
25867	4	603
25867	5	464
25868	1	274
25868	2	384
25868	3	652
25868	4	598
25868	5	425
25869	1	284
25869	2	426
25869	3	739
25869	4	699
25869	5	603
25870	1	213
25870	2	271
25870	3	479
25870	4	516
25870	5	404
25871	1	203
25871	2	272
25871	3	500
25871	4	567
25871	5	366
25872	1	222
25872	2	332
25872	3	574
25872	4	550
25872	5	426
25873	1	110
25873	2	242
25873	3	382
25873	4	365
25873	5	289
25874	1	149
25874	2	245
25874	3	430
25874	4	461
25874	5	318
25875	1	154
25875	2	229
25875	3	344
25875	4	405
25875	5	264
25876	1	149
25876	2	255
25876	3	502
25876	4	498
25876	5	373
146001	1	39331
146001	2	19796
146001	3	34491
146001	4	52277
146001	5	2017
146002	1	15243
146002	2	8901
146002	3	14806
146002	4	13875
146002	5	1121
146005	1	22173
146005	2	11684
146005	3	22384
146005	4	27021
146005	5	1551
146031	1	6602
146031	2	2638
146031	3	4225
146031	4	4712
146031	5	150
146040	1	5511
146040	2	4663
146040	3	7141
146040	4	5298
146040	5	508
146051	1	4993
146051	2	3098
146051	3	5414
146051	4	5502
146051	5	237
146062	1	4842
146062	2	2781
146062	3	6912
146062	4	4765
146062	5	293
146070	1	7887
146070	2	2055
146070	3	3788
146070	4	4441
146070	5	283
146072	1	3919
146072	2	2643
146072	3	5083
146072	4	4794
146072	5	220
146075	1	3152
