gateway_id	AVG(diamond_blue)	AVG(diamond_red)	AVG(unbuond_money)	AVG(zhenqi)	AVG(lingqi)
2581	43.4528	340.2728	1178152.2505	191196.2061	30978.1573
25810	10.1907	227.0686	1026258.9637	173146.3522	28696.2189
25818	18.5630	363.5810	2353510.5992	865291.5651	49897.6482
25851	26.0350	291.7993	2558751.6951	877081.6777	41049.4194
25855	21.1264	343.5999	2076093.7567	450045.9473	47829.5784
25860	31.9460	289.5049	1692132.9859	340081.9993	42900.4362
25863	18.5340	261.8094	1878547.5041	454449.6549	40216.5224
25865	14.3410	261.3508	1716859.7198	438432.0326	42909.3585
25866	8.5328	212.2153	1568633.3382	315186.2281	36824.7819
25867	6.1645	194.3933	1332017.1545	238571.4202	35039.7129
25868	9.7282	201.6275	1417982.8101	245021.7184	36519.5384
25869	7.6016	202.1174	1258499.8448	197821.6917	36584.7834
25870	23.2634	210.1577	1484961.3717	269101.8933	36802.4705
25871	3.3648	163.1205	1248278.5692	187377.1824	33812.4167
25872	7.1830	173.8465	1129649.9677	160103.8042	36267.8270
25873	5.3278	161.3826	1122623.3847	194922.2983	35630.7903
25874	8.0349	178.5396	1101513.0125	141836.7729	33727.8509
25875	4.7858	184.5824	1096852.4026	124117.5115	35120.1719
25876	8.9190	166.2532	950978.1120	82668.3089	35800.2988
146001	67.6480	247.3080	985864.0929	127487.0474	30471.6421
146002	82.5432	246.7621	1255501.7803	256480.6534	34874.9714
146005	16.3158	266.7908	1335710.0820	221649.5202	32848.0085
146031	54.1647	312.8599	2290665.9283	441435.2610	47825.1308
146040	98.2910	782.0432	2687104.5517	562900.9112	66422.8932
146051	44.9931	360.1791	2433589.6884	414148.2595	53123.1461
146062	33.6869	250.3003	2046890.4361	429335.6680	49850.8172
146070	24.0253	191.4676	1573497.0309	303899.3319	57040.8832
146072	22.4041	227.6459	1361986.6723	224161.0874	47651.2635
146075	47.9311	297.9757	2220275.1107	464732.9836	86436.1538
146077	23.3504	248.5782	1872414.5296	391912.6011	67964.5139
146082	26.6416	227.6140	1324822.0724	216073.2733	58792.5763
146084	20.4441	222.4502	1213733.4265	182521.8175	50682.4493
146086	31.0580	215.8846	1323519.5023	235613.1360	50725.3458
146088	16.3765	242.0268	1166059.3180	144023.1836	53662.4479
146089	25.1562	181.8833	1097212.5806	137199.1495	43911.4027
146090	12.1439	162.5617	866262.8395	95366.5502	44578.1122
146091	9.5730	163.6150	883554.9524	91166.2694	41620.9538
146092	15.7897	170.4296	1004749.3717	92103.1816	41480.7298
146093	14.7547	182.7526	1073556.7072	92260.3886	46180.0534
146094	12.7024	183.2174	978736.3985	98099.8439	40839.5746
146095	18.1337	169.8269	1012539.1161	108215.5710	46610.6843
146096	19.6561	173.3899	1032475.4951	106439.1617	41503.1984
146097	26.0709	173.3201	932089.3045	108717.6335	43408.7291
146098	9.7256	164.7070	857162.4189	91475.8341	40553.9686
146099	72.4010	195.7069	1020136.7405	121218.7775	43158.6338
146100	30.1940	212.8247	1115429.9547	118306.3180	60885.8675
146101	14.9142	156.3439	888661.5665	90430.4263	40890.8475
146102	35.0272	171.6689	950029.3537	104054.7445	46985.9855
146103	16.4395	174.4144	970414.6162	101809.5162	46682.3680
146104	7.2183	101.4348	613999.0883	60937.2733	29999.5464
146105	10.7880	147.2327	960283.7195	137428.6859	48751.6514
146106	7.3456	111.9738	624621.2916	55599.0955	33948.1885
146107	9.3150	108.9177	544286.8592	53627.2887	37315.3515
146108	13.4091	149.0564	673591.8088	70702.6193	38468.2061
146109	10.2064	213.2332	1048632.8215	123425.5745	55487.3602
146110	25.1051	151.0714	754572.8007	45010.9729	41396.4392
153001	21.3700	301.2163	1240131.6695	126158.7671	34194.0987
153002	16.5095	385.6167	1728707.1039	212588.7073	40498.9558
153005	10.4845	353.1105	1332614.7921	126807.8116	34112.5741
153007	14.9296	321.6545	1399156.3841	168961.5579	38414.7695
153009	18.0555	1556.7722	1318224.3877	150636.7526	31570.7287
153011	26.8994	405.8871	1915512.2222	209783.4508	41521.5722
153015	19.7082	395.1319	1790764.1606	223895.7470	42630.3172
153017	19.5430	381.3835	1717472.6645	202523.5072	41592.6645
153019	17.2392	423.6827	2125508.7559	305042.6291	50357.7251
153020	34.3959	436.3578	2191206.4520	285668.8512	49315.5127
153023	32.6655	451.5925	2384625.5744	355754.3248	55293.0079
153028	24.4607	393.3291	2042702.3829	384946.3672	55809.1448
153030	17.6598	370.5585	2044197.4566	349589.0750	49844.5151
153033	34.9420	441.0250	3224855.7787	504033.3331	63553.7005
153040	18.9393	432.5313	2228609.7077	307403.2976	54595.9213
153042	20.7874	412.8068	2198522.5239	277534.2090	58537.8185
153043	18.0842	332.2755	1848442.2783	222453.1160	47614.7122
153046	13.5388	429.7190	2977461.0995	469010.6088	78659.1968
153048	25.8455	477.6297	3301850.6812	467076.2008	77216.5705
153049	22.6667	427.1246	3235977.5668	465966.0810	78252.7887
153052	30.8974	443.1859	2806571.5842	437472.0121	68632.4873
153062	13.4749	288.8951	1932601.5580	360166.1646	46043.0896
153064	9.8983	210.6634	1413666.9327	163697.4528	38549.6032
153068	15.4702	301.9758	1946638.6016	345639.0546	52109.3058
153072	29.5892	375.8700	2928695.9450	503226.8639	77924.0903
153076	34.8095	331.9385	2593987.2920	503102.8978	66255.1168
153078	46.7900	486.1987	3209396.5298	507409.0334	99198.9559
153080	36.3870	356.0270	2446167.6648	538788.0536	53445.0171
153084	43.0207	394.7048	3635022.2650	596237.3725	73686.0536
153085	26.2390	332.0250	2666299.3183	416937.7546	54839.3764
153086	16.9387	1064.3128	5097709.9441	1168704.5691	194865.3194
153091	19.1534	481.8892	4075889.4788	746869.7957	85451.2817
153093	22.5733	285.1646	1901220.8139	471061.2518	46781.9717
153095	23.0737	420.2929	2732711.7914	957652.5212	66213.8980
153097	19.7545	425.7230	2123690.2604	646975.1011	69317.0270
153099	9.8991	270.7468	1447780.2780	331662.5260	53018.2852
153100	39.1683	292.3673	1530267.8949	257234.4413	52606.6512
153101	32.5806	258.7514	1550056.6874	306822.6702	56782.9682
153102	11.9511	290.1832	1794005.9845	228826.2872	83814.8110
153103	23.6597	245.6283	1314815.9541	293426.3446	46067.8163
153104	20.8340	353.3024	1334690.7107	240629.4198	65752.7480
153105	11.5365	274.1402	1575540.3685	174945.8135	47366.5448
153106	27.7579	239.4538	1522598.2032	314369.5024	44603.7238
153107	14.7593	194.2840	1112303.7931	142590.0273	42197.0532
153108	22.1480	268.4088	1310571.9283	271365.4714	60271.2159
153109	16.3870	239.4056	1288998.7946	185551.1022	43719.2859
153110	23.7276	565.7646	1624886.3700	351147.7433	208124.8800
153111	6.9491	185.0961	945765.7543	104815.0579	43753.3609
153112	3.9398	204.4299	956961.8622	58020.6898	37397.3531
153113	29.6852	257.9556	834660.2037	43699.9926	44535.1963
153114	0.0000	25.0000	89349.0000	2000.0000	16200.0000
153117	0.0000	0.0000	0.0000	0.0000	0.0000
153118	0.0000	0.0000	0.0000	0.0000	0.0000
153119	0.0000	0.0000	0.0000	0.0000	0.0000
153990	0.0000	0.0000	0.0000	0.0000	0.0000
240001	37.6760	379.1635	2564732.6092	978252.1133	52086.2279
240002	23.3915	407.4573	4463512.1450	1460937.5201	57356.8286
247001	115.5074	299.6923	914099.8474	119393.5014	29621.4930
247005	29.6336	255.5783	1361467.8032	274009.4205	31943.1645
247009	6.9369	189.6915	868831.1037	125828.4851	26790.0356
247023	34.3145	329.6874	2335612.8417	645573.8119	48364.5084
247990	0.0000	0.0000	0.0000	0.0000	0.0000
250001	15.8917	211.1045	1019538.5415	198064.7224	28153.3284
