gateway_id	AVG(diamond_blue)	AVG(diamond_red)	AVG(unbuond_money)	AVG(zhenqi)	AVG(lingqi)	AVG(pvp_honor)	AVG(renown)	AVG(exploit)
2581	177.7148	2910.4330	40349821.0928	15873192.2990	333889.6529	60523.1959	2111.2887	1174.1443
25810	103.2547	2175.5377	45942560.8868	22593688.2642	291004.6604	88889.4340	1369.0094	1108.4623
25818	123.0000	3088.1964	34050458.8095	19489651.8512	485234.6369	77270.3036	2135.3869	826.1786
25851	311.8172	2264.4731	33796317.4731	14940986.4194	333090.6129	67015.9570	1253.1720	1277.3763
25855	110.2642	2318.8585	21673639.7736	10041720.1604	168229.4717	63349.8868	1457.9245	830.3113
25860	472.8590	2207.0256	26670023.1538	11327957.7436	344311.1154	52920.6154	1080.3846	766.8462
25863	121.2703	1224.3784	10796257.7568	11906400.5946	86278.6216	72576.2162	538.9189	555.3514
25865	285.5844	2330.9221	26431661.0000	16222886.0390	389391.0390	92114.2078	4434.0260	1514.8442
25866	21.3913	1755.0435	61091467.8261	17871450.7826	196320.1304	108812.2174	932.8261	2029.6087
25867	22.8000	843.0000	13262071.0000	8005654.6000	135418.1000	64664.9000	977.0000	1063.4000
25868	113.5833	902.1667	22963129.7500	9360446.8333	125017.6667	60602.3333	2084.1667	1291.9167
25869	43.2903	2129.0323	21831605.7742	9005225.3226	204004.0000	66095.6774	416.7742	426.0000
25870	120.6944	1520.5000	26229386.3333	9019865.2778	168378.4167	50189.0556	689.5833	1275.3611
25871	25.0800	1408.6400	22978053.4400	8604258.6400	143290.0400	81138.7600	696.2000	726.7600
25872	16.8846	1432.1154	9863449.4615	6401152.8462	145328.8077	71222.3462	373.2692	521.7308
25873	26.5000	904.4167	11502911.4167	4147396.3333	43153.7500	31107.5000	1004.5833	628.5833
25874	38.6944	901.7778	12023927.6667	4546200.1667	115235.3056	28093.4722	464.3056	404.0833
25875	20.2093	880.7209	8452844.8140	2602681.8140	46210.3953	27900.2326	339.5349	185.1860
25876	36.0096	679.8365	7758926.3077	1787065.5962	71530.3942	13931.8558	765.5288	323.0673
146001	158.8956	3179.9981	34053572.1385	11805555.8273	438978.7723	44894.3852	1626.0816	1099.1973
146002	39.4018	2543.3927	32078715.6438	10531017.6347	293235.0639	42270.6941	1284.0411	998.1553
146005	150.7560	4665.5297	53860417.8923	14860307.2747	526336.1363	75636.5451	1856.2527	1761.3143
146031	262.7500	10527.0000	246747679.1667	28563427.4792	719353.4375	354560.6667	3867.8125	12214.3958
146040	175.5157	2843.1614	31270657.3819	13528249.2874	704122.1575	54914.1693	2087.2244	1554.9803
146051	498.7485	3973.0000	47585059.5329	19789221.4790	395083.5808	70638.8323	1809.3413	1309.6347
146062	118.5482	4571.2500	50113838.7149	20884057.0439	1315552.3158	69687.4211	2449.7149	1631.8509
146070	109.0279	2461.7674	40959025.4000	11027776.7070	1702799.1116	45934.4372	1505.0698	713.7767
146072	157.0866	4513.4567	44549315.7953	14529812.3622	1732661.3622	80192.2835	1019.1732	1637.1181
146075	104.4340	2055.5220	27789182.7358	8237821.6541	290633.7358	41343.1069	737.0440	1349.6101
146077	207.3267	2009.2772	26415792.2772	17230634.8515	262023.6535	68355.3960	1287.2277	838.0693
146082	203.9938	3922.6957	31927735.5217	11904941.8323	1435049.3478	59406.0248	691.0559	809.2981
146084	77.4885	2203.7126	15821342.0057	6046519.2529	762408.1207	26850.9310	541.0632	414.7414
146086	113.1269	4125.5896	19930664.0075	11320024.4179	1139760.8657	54551.1940	512.2761	1156.6269
146088	171.6308	3976.1308	25995915.4846	8381549.0769	1094608.5385	46490.7231	1837.1923	904.3385
146089	86.6875	2684.5625	24772139.1000	7321585.6750	716141.8375	43256.2875	661.3750	419.4625
146090	185.6417	3168.6250	21626057.0500	5223194.5417	1105202.6667	34595.4500	844.5417	727.0583
146091	103.5175	2987.4737	15475149.3070	9396054.0614	763355.5263	43481.6228	622.1491	902.0877
146092	54.8800	1812.1333	11255305.1067	7223372.8667	193204.4667	35844.4267	1022.9333	926.8933
146093	119.9353	2963.7960	22563976.1791	5584754.4726	937700.4129	27126.2786	923.2090	929.6716
146094	94.9000	1600.2000	27154074.4500	8386694.4500	180604.0500	57549.4000	961.1250	431.0500
146095	52.9524	2274.7007	14724787.3469	4924627.6395	1041299.6939	26248.8299	291.8367	315.0544
146096	395.1222	1676.8111	20452246.7333	5015457.9556	239484.4444	36691.6444	1225.0000	990.6222
146097	425.9091	1911.0909	22802551.3409	7067513.3864	157501.5455	65990.2045	650.9091	1129.7955
146098	154.4348	2741.7826	16532463.8913	5789949.6630	676218.1413	31184.4239	857.6630	419.0217
146099	1195.6597	3084.4722	15187350.3958	5660412.9097	689432.4653	26011.6111	1217.4306	689.6806
146100	370.7136	3202.4221	11594063.3819	4289996.6834	874909.4070	19510.8191	745.7035	490.5578
146101	291.7972	2612.2238	15135666.3846	4476233.9860	513419.2168	21612.7413	641.8182	556.7762
146102	1099.4776	2468.7313	22387506.8731	5456502.5299	961445.0373	29443.8358	834.1418	809.2985
146103	243.2324	2763.6620	19933551.8662	4498322.7324	833362.3803	28061.8239	684.6831	674.4085
146104	170.8085	1730.5745	12429121.4894	3502603.7447	662289.5638	19976.6596	170.7979	382.8936
146105	147.5753	2394.7534	11038924.3151	5595683.0685	789239.6027	29667.4384	797.7397	308.3699
146106	155.9481	2577.8370	13404830.3333	3620496.5926	557305.3852	22875.7333	591.8889	404.3630
146107	72.7933	1568.7709	9313368.7374	2163629.2458	354498.6034	12664.3966	434.8045	279.6034
146108	212.0100	1531.7458	6056566.6856	1722801.6254	281244.2007	8802.1773	463.9298	397.6321
146109	177.7295	1959.2705	9554910.8852	3226307.4098	477337.2951	18225.0082	633.6066	433.5328
146110	25.6076	332.7048	1503642.4278	223724.7181	67108.8026	974.2628	59.6316	28.0771
153001	327.0000	8173.7785	70391993.9087	13957084.7922	932388.5342	78332.4863	4117.5913	2482.5639
153002	254.9348	5680.0290	61478373.6449	12198243.7754	488432.2174	71081.5652	2595.7246	1808.3841
153005	152.3672	7094.6094	105970166.7578	19887437.3047	903262.6953	124683.2813	2141.0547	2212.4453
153007	247.9259	4743.7143	45953953.5291	20186319.5238	380801.7196	70454.0370	2046.0847	1568.6825
153009	114.0085	5270.3974	66030625.1368	17812806.1239	589967.2607	64548.0043	1910.0214	2790.8376
153011	281.7228	7815.3465	86060446.6238	18029597.0198	865733.6634	114662.8713	2837.0297	5598.8218
153015	277.1084	6216.3941	49345368.1773	18173484.3103	934827.2069	90694.5665	2184.9261	1278.4039
153017	266.6703	4921.8791	80445498.7363	18301121.4396	688279.4066	96511.7143	3745.8242	3016.8242
153019	250.4700	4251.9700	78838895.2200	24118073.4500	620946.2100	165080.9800	2587.8500	2375.2300
153020	207.5075	5924.4627	67322566.7761	29696030.4104	891819.3433	89011.0224	2874.2164	2775.6493
153023	401.4076	6504.2143	53274893.7185	14229277.3109	874938.6807	73268.2479	3400.0000	2026.0924
153028	139.1316	5842.6053	81077690.2895	30868488.2632	1826025.8026	113194.1447	2550.3289	3406.3421
153030	248.8557	4516.4536	55387089.4845	17921432.1134	765721.0515	124272.6701	2145.6701	1397.2474
153033	306.8000	5636.1897	120190724.7487	17388717.2103	1216014.8000	104956.8051	3927.9487	3028.0000
153040	220.5814	6180.4302	59523069.3023	18509519.4070	794249.4535	136155.1628	2128.0233	2494.7907
153042	248.0542	5440.1429	57299388.2365	18793163.9163	1386187.2217	103934.2562	2470.3202	2833.2217
153043	583.6452	5305.0753	57794973.3226	25812523.3871	840260.0215	100547.5161	1478.0645	1673.0108
153046	196.2069	4605.7586	64343279.2759	18790783.6897	710957.7241	137013.2759	6353.9655	3180.3793
153048	249.5102	6113.0408	59729326.4694	31582877.7347	992664.8061	139993.4592	2797.1429	3241.0306
153049	165.4638	5148.2174	68545922.0725	24397958.8551	1759128.4783	106129.4203	2052.6812	2469.9710
153052	88.2298	3857.7267	57884006.6957	19536838.7578	773205.7267	102016.1366	2435.5901	2159.6398
153062	114.3488	4375.1860	53790215.1453	22796477.8372	677286.8081	87258.5930	3391.3663	1877.8779
153064	51.1702	3277.7234	72938018.0213	13274487.3830	477277.3830	87732.3830	1487.8723	4083.3191
153068	260.6725	5198.4211	37556577.9532	18661514.2690	860823.1579	95248.7368	2075.1170	2096.3509
153072	102.0698	3684.6337	48301915.8488	12946610.3721	438711.4012	52899.4186	1551.4535	2718.4360
153076	162.7576	4811.2121	42922297.1818	13788367.5758	718257.5606	135230.8939	2923.8636	5376.4242
153078	67.5152	4836.1061	40861256.5758	8520198.3788	1607644.8030	85387.2727	5730.5303	5747.5606
153080	554.8452	4534.8452	43513444.0595	17177249.1429	826597.1310	104997.9286	3319.1667	3971.6905
153084	128.3491	2614.8491	38542049.4151	10288849.0755	596906.6321	97362.4245	557.2170	2702.9151
153085	58.3191	2580.5532	37315897.3191	10384935.3191	261708.2340	86675.0213	1518.9362	1501.1489
153086	74.3937	3246.4724	26308968.2205	15631546.2126	463403.1024	74817.2205	1614.8819	1680.8976
153091	139.0789	2554.8684	32614888.6842	8626990.4211	367175.1711	89877.5789	381.0526	1688.3289
153093	130.8652	1916.1011	20659500.0225	7511961.4157	166717.0562	40375.9775	2581.4607	1548.5281
