vip_level	role_count	SUM(diamond_blue)	SUM(diamond_red)	SUM(unbuond_money)	SUM(zhenqi)	SUM(lingqi)	SUM(pvp_honor)	SUM(renown)	SUM(exploit)
0	12738	93573	7266606	49663239276	1582204266	793194204	15425505	745250	578371
1	164	10276	156669	1051340866	52363799	16112735	563612	32970	29677
2	1302	91656	922507	7849424822	417438852	92526634	4584021	254780	296463
3	393	31600	231941	4469008210	237759368	28584140	2064312	138505	151988
4	487	48933	316799	3229095683	298764341	35373955	2752570	210225	190095
5	321	50007	200809	2290203738	245947823	26613853	2613066	196175	146577
6	484	111346	363197	4109616694	566391261	52436337	5777073	340500	331153
7	220	91362	179292	1692895480	279925684	18317631	3713754	299245	185793
8	166	94625	361777	1647019772	225871377	16347074	3496545	310330	144657
9	30	26401	67121	265562068	43046582	2478536	712118	37670	28833
10	73	56302	86894	753507794	109251884	7781077	1584515	135560	68680
11	26	51078	37800	420595928	52845301	3376933	553893	56395	25546
12	8	12690	67146	81654296	7107359	958026	332960	20155	7648
13	10	18612	41888	195556778	7011257	1045678	451626	40745	13535
14	10	46515	39169	76830145	17316785	2263716	213376	50670	14445
15	3	75820	35103	10282129	9020527	3957057	206544	28650	2974
