gateway_id	ss_camp_type	count(*)
2581	0	1
2581	1	27431
2581	2	40118
2581	3	35211
25810	0	2
25810	1	29036
25810	2	32725
25810	3	30062
25818	0	1
25818	1	5294
25818	2	5653
25818	3	5493
25851	1	1564
25851	2	1954
25851	3	2002
25855	1	2397
25855	2	2944
25855	3	2726
25860	1	1530
25860	2	2259
25860	3	1677
25863	1	678
25863	2	947
25863	3	789
25865	1	1068
25865	2	1336
25865	3	1097
25866	1	954
25866	2	1045
25866	3	807
25867	1	698
25867	2	843
25867	3	653
25868	1	744
25868	2	934
25868	3	655
25869	1	805
25869	2	1124
25869	3	822
25870	1	601
25870	2	769
25870	3	513
25871	1	695
25871	2	778
25871	3	435
25872	1	669
25872	2	833
25872	3	602
25873	1	386
25873	2	534
25873	3	468
25874	1	495
25874	2	636
25874	3	472
25875	1	403
25875	2	546
25875	3	447
25876	1	516
25876	2	763
25876	3	498
146001	0	59
146001	1	40020
146001	2	56948
146001	3	50885
146002	0	4
146002	1	14574
146002	2	20897
146002	3	18471
146005	0	4
146005	1	23137
146005	2	32060
146005	3	29612
146031	1	6525
146031	2	5616
146031	3	6186
146040	1	7714
146040	2	8043
146040	3	7364
146051	0	1
146051	1	6557
146051	2	6421
146051	3	6265
146062	1	6746
146062	2	5322
146062	3	7525
146070	1	6251
146070	2	5085
146070	3	7118
146072	1	5823
146072	2	5232
146072	3	5604
146075	1	3753
146075	2	4030
146075	3	4114
146077	1	3332
146077	2	2929
146077	3	3226
146082	1	5770
146082	2	5870
146082	3	6598
146084	1	7333
146084	2	7286
146084	3	6106
146086	1	5255
146086	2	4984
146086	3	4699
146088	1	5663
146088	2	5537
146088	3	6078
146089	1	4153
146089	2	4172
146089	3	4542
146090	1	6799
146090	2	6424
146090	3	7205
146091	1	7451
146091	2	8119
146091	3	8442
146092	1	6905
146092	2	6806
146092	3	6769
146093	0	1
146093	1	7225
146093	2	7264
146093	3	7075
146094	1	3877
146094	2	4003
146094	3	4557
146095	1	4071
146095	2	4223
146095	3	4633
146096	1	3870
146096	2	3661
146096	3	4179
146097	1	4060
146097	2	3921
146097	3	3791
146098	1	4128
146098	2	4044
146098	3	4508
146099	1	3792
