level	count(*)
0	1
1	439332
2	371032
3	247370
4	91939
5	30136
6	112096
7	62179
8	53637
9	35565
10	110709
11	44659
12	84809
13	61246
14	29952
15	33303
16	43042
17	10575
18	8295
19	24970
20	13713
21	28824
22	8717
23	9387
24	29777
25	51114
26	28442
27	20163
28	7958
29	28066
30	9736
31	6702
32	18455
33	8541
34	17063
35	25573
36	8968
37	10247
38	11841
39	8962
40	15904
41	15050
42	13251
43	28704
44	19593
45	29829
46	24959
47	23256
48	16799
49	14459
50	16659
51	16920
52	15352
53	14432
54	11446
55	9667
56	9175
57	7682
58	7713
59	5648
60	7685
61	7685
62	6388
63	6589
64	5136
65	19114
66	18785
67	14836
68	12864
69	9838
70	21353
71	9338
72	9230
73	8045
74	6498
75	12535
76	11697
77	10616
78	8109
79	5993
80	10518
81	7495
82	7451
83	6221
84	4889
85	5973
86	5037
87	4377
88	4012
89	3356
90	6028
91	4157
92	3921
93	3495
94	3104
95	2990
96	2740
97	2345
98	1961
99	1686
100	3853
101	2846
102	2438
103	2248
104	1944
105	1916
106	1742
107	1374
108	1210
109	1112
110	1376
111	1251
112	1096
113	1027
114	904
115	884
116	833
117	728
118	733
119	612
120	1137
121	1110
122	1149
123	1227
124	1159
125	1197
126	1192
127	1100
128	972
129	884
130	1250
131	922
132	811
133	608
134	508
135	413
136	368
137	315
138	265
139	238
140	307
141	211
142	205
143	223
144	170
145	182
146	156
147	113
148	93
149	76
150	76
151	2
