level	count(*)
1	507
2	425
3	249
4	414
5	50
6	209
7	102
8	239
9	100
10	171
11	104
12	136
13	132
14	231
15	218
16	94
17	47
18	71
19	54
20	20
21	55
22	46
23	13
24	33
25	86
26	55
27	60
28	34
29	87
30	21
31	20
32	31
33	16
34	33
35	84
36	26
37	30
38	46
39	32
40	40
41	31
42	11
43	33
44	27
45	51
46	37
47	36
48	33
49	27
50	40
51	23
52	29
53	20
54	25
55	24
56	27
57	26
58	18
59	8
60	12
61	18
62	9
63	13
64	5
65	60
66	73
67	64
68	36
69	38
70	58
71	39
72	40
73	44
74	36
75	71
76	85
77	98
78	71
79	76
80	84
81	102
82	87
83	89
84	84
85	99
86	93
87	82
88	83
89	73
90	151
91	103
92	91
93	112
94	142
95	135
96	162
97	130
98	104
99	148
100	205
101	253
102	142
103	179
104	168
105	230
106	187
107	137
108	139
109	152
110	133
111	159
112	143
113	148
114	137
115	139
116	128
117	120
118	126
119	88
120	201
121	193
122	213
123	264
124	268
125	259
126	262
127	281
128	265
129	234
130	314
131	267
132	266
133	245
134	214
135	198
136	205
137	167
138	171
139	174
140	201
141	165
142	169
143	199
144	159
145	173
146	155
147	109
148	92
149	75
150	72
151	2
