level	count(*)
1	3454
2	1404
3	798
4	1255
5	148
6	779
7	357
8	844
9	361
10	569
11	384
12	426
13	404
14	581
15	606
16	282
17	129
18	218
19	123
20	63
21	157
22	108
23	62
24	88
25	274
26	135
27	138
28	60
29	223
30	63
31	61
32	97
33	40
34	92
35	240
36	68
37	96
38	119
39	97
40	140
41	92
42	59
43	114
44	101
45	212
46	204
47	183
48	108
49	145
50	146
51	121
52	120
53	127
54	87
55	103
56	88
57	85
58	86
59	55
60	66
61	58
62	76
63	71
64	71
65	279
66	293
67	241
68	162
69	169
70	281
71	176
72	159
73	173
74	142
75	265
76	259
77	307
78	252
79	185
80	475
81	195
82	216
83	216
84	213
85	198
86	209
87	176
88	242
89	226
90	314
91	210
92	211
93	258
94	246
95	217
96	168
97	161
98	152
99	129
100	515
101	269
102	224
103	258
104	270
105	219
106	277
107	221
108	152
109	122
110	233
111	239
112	237
113	246
114	207
115	163
116	181
117	161
118	152
119	132
120	243
121	237
122	270
123	285
124	276
125	303
126	319
127	352
128	319
129	304
130	456
131	375
132	360
133	282
134	287
135	264
136	224
137	221
138	201
139	198
140	285
141	221
142	212
143	203
144	189
145	204
146	162
147	150
148	165
149	125
150	318
151	34
152	2
153	1
