gateway_id	vip_level	count(*)
2581	0	94732
2581	1	3533
2581	2	888
2581	3	961
2581	4	567
2581	5	348
2581	6	779
2581	7	294
2581	8	340
2581	9	79
2581	10	141
2581	11	86
2581	12	41
2581	13	72
2581	14	36
2581	15	27
2581	16	7
2581	17	3
2581	18	1
25810	0	84890
25810	1	3381
25810	2	759
25810	3	822
25810	4	455
25810	5	317
25810	6	657
25810	7	183
25810	8	151
25810	9	38
25810	10	111
25810	11	69
25810	12	9
25810	13	39
25810	14	17
25818	0	14130
25818	1	744
25818	2	250
25818	3	260
25818	4	146
25818	5	113
25818	6	403
25818	7	151
25818	8	130
25818	9	24
25818	10	165
25818	11	30
25818	12	11
25818	13	13
25818	14	1
25818	15	2
25851	0	4561
25851	1	225
25851	2	109
25851	3	205
25851	4	59
25851	5	54
25851	6	165
25851	7	56
25851	8	53
25851	9	22
25851	10	42
25851	11	15
25851	12	8
25851	13	5
25851	14	3
25855	0	6554
25855	1	757
25855	2	146
25855	3	135
25855	4	68
25855	5	67
25855	6	148
25855	7	76
25855	8	89
25855	9	15
25855	10	38
25855	11	26
25855	12	2
25855	13	4
25855	14	3
25860	0	4567
25860	1	513
25860	2	64
25860	3	80
25860	4	47
25860	5	30
25860	6	56
25860	7	28
25860	8	39
25860	9	15
25860	10	21
25860	11	7
25860	12	4
25860	13	3
25863	0	2008
25863	1	219
25863	2	56
25863	3	31
25863	4	24
25863	5	21
25863	6	34
25863	7	15
25863	8	6
25863	9	2
25863	10	5
25863	12	1
25863	13	7
25865	0	3015
25865	1	282
25865	2	29
25865	3	66
25865	4	27
25865	5	14
25865	6	30
25865	7	18
25865	8	11
25865	9	4
25865	10	4
25865	11	6
25865	12	2
25865	13	2
25866	0	2471
25866	1	215
25866	2	32
25866	3	29
25866	4	10
25866	5	3
25866	6	20
25866	7	8
25866	8	12
25866	9	7
25866	10	6
25866	11	5
25867	0	1947
25867	1	161
25867	2	33
25867	3	24
25867	4	14
25867	5	2
25867	6	9
25867	7	3
25867	8	4
25867	9	2
25867	10	4
25868	0	2059
25868	1	185
25868	2	17
25868	3	21
25868	4	8
25868	5	7
25868	6	18
25868	7	9
25868	8	7
25868	9	6
25868	10	1
25868	11	1
25868	12	2
25869	0	2438
25869	1	226
25869	2	24
25869	3	33
25869	4	14
25869	5	10
25869	6	9
25869	7	4
25869	8	1
25869	9	1
25869	10	6
25869	12	1
25870	0	1673
25870	1	131
25870	2	17
25870	3	24
25870	4	11
25870	5	17
25870	6	13
25870	7	3
25870	8	4
25870	9	2
25870	10	3
25871	0	1793
25871	1	72
25871	2	14
25871	3	16
25871	4	17
25871	5	3
25871	6	2
25871	7	7
25871	8	2
25871	9	2
25872	0	1908
25872	1	149
25872	2	12
25872	3	13
25872	4	15
25872	5	9
25872	6	9
25872	7	5
25872	8	8
25873	0	1278
25873	1	84
25873	2	4
25873	3	18
25873	4	5
25873	5	4
25873	6	11
25873	7	1
25873	8	2
25873	10	1
25874	0	1471
25874	1	103
25874	2	16
25874	3	13
25874	4	5
25874	5	6
25874	6	8
25874	7	3
25874	10	2
25875	0	1287
25875	1	87
25875	2	5
25875	3	18
25875	4	7
25875	5	8
25875	6	6
25875	8	3
25875	9	1
25876	0	1726
25876	1	101
25876	2	20
25876	3	18
25876	4	6
25876	5	5
25876	6	13
25876	7	3
25876	8	1
146001	0	140414
146001	1	3703
146001	2	754
146001	3	865
146001	4	491
146001	5	371
146001	6	713
146001	7	232
146001	8	239
146001	9	48
146001	10	153
146001	11	188
146001	12	37
146001	13	75
146001	14	66
146001	15	52
146001	16	3
146001	18	20
146002	0	50746
146002	1	1260
146002	2	287
146002	3	363
146002	4	212
146002	5	179
146002	6	451
146002	7	134
146002	8	160
146002	9	32
146002	10	86
146002	11	53
146002	12	16
146002	13	76
146002	14	24
146002	15	61
146002	16	5
146002	17	14
146002	18	7
146005	0	79906
146005	1	1919
146005	2	478
146005	3	508
146005	4	330
146005	5	203
146005	6	627
146005	7	227
