GAME_ID	ROLE_ID	USER_ID	ROLE_NAME	GATEWAY_ID	NATIONALITY_ID	ROLE_GENDER	ROLE_OCCUPATION	ROLE_LEVEL	ROLE_STATE	CREATE_TIME	DELETE_TIME	LAST_LOGOUT_TIME	TOTAL_ONLINE_SECOND	MONEY1	MONEY2	EXPERIENCE
146	10296982	98333768	修罗丨致候つ	146103	0	1	5	7	1	2017/4/13 2:37		2017/4/13 2:55	1091	0	0	14932
146	10297002	98241371	贫尼有感觉了	146103	0	2	5	16	1	2017/4/13 2:57		2017/4/13 3:23	1546	0	50	2462
146	10297207	98334161	狂剑乄向皓	146103	0	1	1	8	1	2017/4/13 7:33		2017/4/13 9:53	1040	0	0	16278
146	10297247	98334257	海神丶	146103	0	1	4	9	1	2017/4/13 8:10		2017/4/13 8:20	626	0	90	5110
146	10297276	98334310	may丶梦	146103	0	2	2	83	1	2017/4/13 8:29		2017/4/23 22:04	137468	67	1097	6638904
146	10297386	98334586	无名小	146103	0	2	3	1	1	2017/4/13 10:09		2017/4/13 10:10	55	0	0	0
146	10297435	98334655	浮笙箬梦	146103	0	2	3	4	1	2017/4/13 10:37		2017/4/13 10:41	243	0	0	12149
146	10297605	98149710	九天千晨	146103	0	2	3	10	1	2017/4/13 12:49		2017/4/14 17:49	2228	0	175	7588
146	10297622	98335146	孤独乄夫高丶	146103	0	1	5	16	1	2017/4/13 12:58		2017/4/13 15:17	1701	0	50	14717
146	10297647	98335285	★美琳雨昔	146092	0	2	3	1	2	2017/4/13 13:26	2017/4/13 15:13	2017/4/13 13:45	743	0	0	7000
146	10297731	98335493	月光の道海	146103	0	1	5	24	1	2017/4/13 14:24		2017/4/15 11:16	10049	0	125	21929
146	10297978	98336188	淺笶墨白	146103	0	1	4	83	1	2017/4/13 17:33		2017/5/10 19:59	31608	19	2414	3946386
146	10298007	98336266	我低調我不說	146001	0	1	5	87	1	2017/4/13 17:49		2017/4/28 6:45	14689	0	1910	3592182
146	10298089	98336505	缘锋乄偉问灬	146103	0	1	4	8	1	2017/4/13 18:29		2017/4/14 16:50	687	0	0	5957
146	10298334	98337037	★轩辕烁忆	146103	0	1	4	1	1	2017/4/13 20:01		2017/4/13 20:01	51	0	0	0
146	10298465	98337413	青阳杨曼	146103	0	2	2	6	1	2017/4/13 20:57		2017/4/13 21:03	379	0	50	1383
146	10298483	98337493	雪舞慧惜	146103	0	2	3	65	1	2017/4/13 21:07		2017/4/16 11:25	13620	0	1182	1698479
146	10298615	98337947	顾北轻歌寒ヾ	146103	0	1	4	15	1	2017/4/13 22:08		2017/4/13 22:27	1190	0	50	11172
146	10298632	98338038	似水言妹★	146103	0	2	3	22	1	2017/4/13 22:18		2017/4/13 23:20	3497	0	65	21171
146	10298648	98337947	紫夜百芳	146100	0	1	1	2	1	2017/4/13 22:28		2017/4/13 22:29	76	0	0	3200
146	10298656	98338227	孤单の芝玲	146103	0	2	5	2	1	2017/4/13 22:37		2017/4/13 22:38	79	0	0	3200
146	10298657	98338168	★霸刀霞月	146100	0	2	5	4	1	2017/4/13 22:37		2017/4/13 22:41	205	0	50	7152
146	10298669	98338168	★霸刀霞月子	146005	0	2	5	4	1	2017/4/13 22:42		2017/4/13 22:52	612	0	50	12677
146	10299056	98339550	启远蔚伊	146103	0	1	1	1	1	2017/4/14 5:12		2017/4/14 5:20	464	0	0	0
146	10299234	98340075	丿淳于姿淑	146103	0	2	3	4	1	2017/4/14 8:53		2017/4/14 10:14	476	0	0	12889
146	10299245	98340116	独爱玉水	146089	0	1	4	15	1	2017/4/14 9:05		2017/4/14 12:53	3690	0	0	2642
146	10300008	98344273	依恋雪晴	146040	0	2	3	12	1	2017/4/14 16:13		2017/4/14 16:40	1581	0	50	2834
146	10300056	98344462	风月悠秋	146103	0	2	2	69	1	2017/4/14 16:36		2017/4/15 10:09	20563	58	1671	1286463
146	10300195	98344797	悠然笙巧丶	146103	0	2	3	1	1	2017/4/14 17:22		2017/4/14 17:23	48	0	0	0
146	10300423	98345726	孤云忆亮	146103	0	1	5	1	1	2017/4/14 18:53		2017/4/14 18:58	300	0	0	0
146	10300493	98345788	靓姐vs凌云	146103	0	1	4	35	1	2017/4/14 19:14		2017/4/15 13:27	6324	0	0	26840
146	10300499	98346061	空门竹赐	146103	0	1	5	3	1	2017/4/14 19:17		2017/4/14 19:20	169	0	0	100
146	10300749	98346875	★圣域落寞	146103	0	1	1	67	1	2017/4/14 20:33		2017/4/16 21:25	17812	0	775	1214592
146	10300956	98347462	凤舞尔锋	146005	0	1	4	68	1	2017/4/14 21:26		2017/4/23 15:44	17769	0	1	710792
146	10301012	98347572	梦幻の羽亦	146084	0	1	4	113	1	2017/4/14 21:40		2017/6/2 19:10	56940	3	1378	11535196
146	10301103	98347981	乐尘歌颖	146103	0	2	3	1	1	2017/4/14 22:14		2017/4/14 22:27	50	0	0	0
146	10301304	98348771	★正承定谷★	146103	0	1	1	1	1	2017/4/14 23:19		2017/4/14 23:19	23	0	0	0
146	10301346	98349066	笙箫绝蔚	146103	0	1	1	4	1	2017/4/14 23:44		2017/4/14 23:53	574	0	0	12152
146	10301412	98349485	慕尘の	146103	0	2	2	51	1	2017/4/15 0:31		2017/4/15 9:51	9331	0	20	260672
146	10301414	98349480	●馨雨●	146103	0	2	3	47	1	2017/4/15 0:32		2017/4/15 2:10	5880	0	160	43942
146	10301430	98349579	★傲寒	146103	0	1	4	54	1	2017/4/15 0:49		2017/4/15 15:19	17718	0	348	422155
146	10301435	32171475	搋子	146103	0	2	3	97	1	2017/4/15 0:52		2017/5/3 18:42	108829	69	3192	9085481
146	10301519	98350303	烟雨の斌雪	146103	0	1	4	15	1	2017/4/15 3:19		2017/4/15 3:59	2380	0	0	2765
146	10301764	98350963	一定天	146103	0	1	4	3	1	2017/4/15 7:34		2017/4/15 7:44	610	0	0	9724
146	10301814	98351086	梦潇丨允友灬	146103	0	1	4	13	1	2017/4/15 7:52		2017/4/15 8:27	2067	0	150	6987
146	10302169	98352000	凡灵之飘	146103	0	2	3	13	1	2017/4/15 9:55		2017/4/15 13:59	14449	0	0	23234
146	10302414	98352591	薄唇	146040	0	1	4	92	1	2017/4/15 11:05		2017/5/2 20:52	131945	8	2903	17335312
146	10302521	98352868	不败雁冥	146103	0	1	4	63	1	2017/4/15 11:33		2017/4/18 21:42	9099	0	1030	424308
146	10302581	98353026	會烟开慈	146103	0	1	1	8	1	2017/4/15 11:50		2017/4/15 12:05	869	0	50	5780
146	10302669	98353024	玲珑雪寇	146103	0	1	1	3	2	2017/4/15 12:20	2017/4/15 12:32	2017/4/15 12:31	676	0	50	9100
146	10302693	98353024	★雷成甫谊	146103	0	1	4	14	1	2017/4/15 12:32		2017/4/15 15:32	2631	0	150	16200
146	10302904	98354108	带刺的蔷薇	146103	0	2	5	9	1	2017/4/15 13:42		2017/4/15 14:04	1224	0	50	4994
146	10303034	98354443	宗凌福禹	146103	0	1	4	2	1	2017/4/15 14:17		2017/4/15 14:19	95	0	0	7200
146	10303294	98355151	婧雯灵宜灬	146103	0	2	3	3	1	2017/4/15 15:32		2017/4/15 15:36	200	0	0	5136
146	10303436	98355553	缘诺木礼★	146002	0	1	4	16	1	2017/4/15 16:58		2017/4/15 17:45	2852	0	50	1484
146	10303632	98355553	健身。	146002	0	1	4	16	1	2017/4/15 17:49		2017/4/15 18:59	4169	0	0	502
146	10303686	98356590	凌神圣	146040	0	2	3	70	1	2017/4/15 18:05		2017/4/18 17:16	29498	0	905	1950316
146	10303699	98356620	★国灵赤莫灬	146098	0	1	5	1	1	2017/4/15 18:09		2017/4/15 18:16	381	0	0	0
146	10303783	98356827	韵幽羽寻	146097	0	1	4	10	1	2017/4/15 18:34		2017/4/15 18:50	936	0	0	3202
146	10303812	98356960	冰鵬乄津尧	146103	0	1	5	4	1	2017/4/15 18:43		2017/4/15 21:27	1192	0	0	2149
146	10303895	98356620	死宅魔王	146098	0	1	4	1	1	2017/4/15 19:12		2017/4/15 19:13	46	0	0	0
146	10303922	98357343	夢雅の梦云	146005	0	2	2	4	1	2017/4/15 19:18		2017/4/15 19:27	519	0	50	2152
146	10304024	98357513	真田信之	146103	0	1	4	53	1	2017/4/15 19:47		2017/4/20 12:45	13242	0	610	300597
